log_sigma,mu,xi
3.2520347384526778,74.70724212246493,-0.24974650181000124
3.3580360351274297,73.25493464225545,-0.21077889570568126
3.1541831922451498,69.69513026354065,-0.30562106600453
3.302469451519594,75.5254272351449,0.03358122464979692
3.2472362122102636,74.56830319579515,-0.00048362781070401454
3.135652764623113,72.39110365910754,0.07294679910033423
3.1129140951031453,76.94975625250757,-0.3156293818924347
3.0497163803023466,79.54928641171499,-0.39751626978683335
3.214194243315407,92.44340850653707,-0.11916669744420244
3.281309537452496,83.63250840423076,-0.1729546922721754
3.162250888128427,74.77071085301459,-0.3252614697553084
3.0612415546521103,83.73691028123866,0.0085720894650557
2.824377142212155,83.48054519852741,-0.1017140892160227
3.2887171831412494,67.19593236356488,0.017006855118107376
2.720791399799514,74.41075338676032,-0.15907407073933147
3.395161985380013,73.40414289464749,0.25810076151926875
3.1312224802154263,67.54640258993915,0.11602100802804426
3.0494093565201164,74.754804465045,-0.2779282094253891
2.8998298226365513,88.09283570227417,-0.07765668817968459
2.8510042995598055,88.11361023053861,-0.12004533119727914
3.138778401775678,61.96393252749147,-0.05952638621831179
3.1483093316481083,84.5548184115592,-0.04835816010572099
3.0812967560555524,87.03051934095697,0.10766406697386428
3.2392066984577563,79.89791536694975,-0.32263030519288355
2.9781781544288086,84.43383719894723,-0.17223241669297268
3.0483025792851657,81.16313406004289,-0.19875022184160887
2.995678978245959,79.0096458965884,-0.3096219221772839
3.0256547492549197,75.57723880595373,-0.009136210636953943
2.800296199886845,75.7461243459009,0.04442407128520757
3.3095572165383786,78.31830279080994,0.07658358709594698
3.373298186483477,78.22988465173778,0.12498565652070646
3.251715322841927,82.27656311020982,0.054569108775577094
3.1239844050504244,73.24945829160951,0.19500636622754097
2.7288032733206795,71.40531419276779,-0.032450999419411604
2.9876705026879202,78.18007068987109,-0.00037254140143394327
3.253813399565601,69.17499253086534,0.07212631578230687
3.1630535913897724,68.8346896028486,0.24286647115528756
3.0993265294770187,78.74637936356626,-0.2577316292533223
3.061061383586844,79.00189598964434,-0.18432089760409417
3.05100552979253,75.78234064584228,-0.15475474501055667
3.0237591294397297,86.23407843312809,-0.14925639914524813
2.977619754862132,81.1248081362428,-0.020260125453931303
3.0674673171504385,74.67353211523319,0.1575580332297989
3.203504339307033,77.96412702251915,0.011384348855285824
2.8440732921607235,74.39926381239444,0.034061837439043535
2.800793953094541,69.28385461284678,0.06286708842073636
2.926389646521392,66.74501037027191,0.2209087248717939
2.9317705306931656,64.70750823951306,0.03196259724920843
3.3279720367279335,73.2852644582907,0.013195127934544491
3.1538282976100187,78.80282971662426,0.3410309878508942
3.4008719180513958,76.96021969614131,0.4100785400931947
3.0316079457464666,76.64137167677767,-0.03339620004422978
2.9949920860279393,79.57672494476874,0.06275063838570748
3.1444035651848994,76.21295699321692,-0.03480682008327451
2.8744936844726756,78.71476493691642,-0.19407106011684644
2.8503434567725368,83.1650818300053,-0.13098964150064946
2.997317935693856,73.61330093892086,0.004049780857008873
3.257013311342743,74.63536057363675,-0.1203278034084673
3.282678014821188,79.39236412587897,-0.13944176146927115
3.25558676834481,74.30258786009006,-0.3927531105708029
3.200977836994215,79.60903914472972,-0.2837146440824858
3.0869070834480774,70.56586507156716,-0.0016975563044273592
2.958246807163084,72.90505331694477,-0.10262353269697454
2.946063251666877,85.09270783383224,-0.15216339639874557
3.0581410174858323,80.22417571168032,-0.2137911339443515
2.908431222380965,70.4514656964647,0.07424092743425917
2.799343621912698,70.29466867897622,0.23361465796238015
3.140830534100545,87.18622583665706,-0.21550609552855318
2.8467732630631692,73.66867813134941,-0.0549921698540814
2.853159630457914,73.61389267601848,-0.05000941127335642
3.17916167684988,85.04763761944756,-0.11972494399981656
3.45791471466874,84.4531129722702,-0.1120647617666892
3.0143712752555087,76.71309615154411,0.28548706076060354
3.2475742507443575,76.02725359808214,0.1903738249219588
3.238944724616179,80.18167950934064,0.2790097442589804
3.0251832031640373,75.90644973329374,0.19690973233383458
3.097299278186922,79.33509519282163,-0.15116458947453648
3.0688087227855685,81.50804469843449,-0.12375976324871003
3.184162534301705,75.57410114059405,0.008785986406732327
2.8035355926047245,71.808061381039,-0.04489518761646742
3.025444757103091,74.95122308188465,0.13010246496714883
2.954709895227977,78.35971476800329,-0.05954605164077551
2.8555007967830464,76.04436203955913,-0.10932782566808623
3.092383949917917,70.69602377062313,0.09533482472508677
2.8794771889742643,84.03901187741228,-0.2997303679372237
3.1397293608164376,82.84813637860582,-0.1069190955066648
3.045903208892654,67.46098690258933,-0.25164834208315146
3.052157936443718,93.5773356638529,-0.33366742440661573
3.069258133295688,85.94548185435447,-0.3316940381554705
3.10178615277549,77.57986254259214,-0.1823832053668625
3.346790070421884,81.39761801941995,0.1367993902038999
3.2482994053891936,79.15063396824077,0.21933947700644663
3.3182892589135977,80.63673856350151,0.1293800473950909
3.458019275776825,76.97422784506755,0.22336213070293048
2.9517811036577104,75.35041572969556,0.18495402658978935
2.959108965292181,76.51175261435598,-0.08984804157389004
3.0653867174841976,74.5091152152773,-0.09427028224786543
3.0093274642721584,75.02007937195029,-0.09285530429364643
2.815088716370272,72.68461442875187,0.15269890310518752
2.862211391806876,67.13257820175009,0.2159581584626501
2.842928981263873,67.7742011455124,0.16202765094380775
3.239424244859902,81.81975409984116,-0.10463943345950574
2.8134134089640312,76.41157830488909,-0.09430826128051259
2.7285989029751785,79.91570542957149,-0.14114206775736052
2.719377044455639,78.96761123058435,-0.09154133808641987
2.719739977987931,79.50045506129368,-0.12993806665909163
3.046603030494047,73.15414693915845,0.06348087307854698
2.8314822849453747,79.58798132793021,-0.1454833017923896
3.150660692230272,73.79306424640056,0.12091939598684637
