log_sigma,xi
2.2320605448655053,-0.030661394460959508
2.229701656599494,-0.050631833405514
2.287484417012697,-0.08383636153328428
2.2287402119867448,-0.11858543934582964
2.2254443610892314,-0.08311852758099071
2.196266479509499,-0.03707263201335932
2.257479692056183,-0.10304910512423496
2.356021531625737,-0.09721666760452662
2.2453486330161394,-0.07671339502560116
2.1323275144748086,0.12884032736438197
2.1934193472133576,-0.12981290628396208
2.361156885727654,-0.11628814493005757
2.2716198133755188,-0.09581912176910992
2.239069624583742,-0.09468342104176465
2.484399934502992,-0.17257627795773514
2.5437236689308595,-0.17310354711879342
2.430853565294028,-0.12931914163223038
2.1895116436862954,-0.05163860064917288
2.1986768583434255,-0.09529706197919212
2.4423217135222486,-0.036491434619710654
2.5035828572282073,-0.010262037138818344
2.339109134128374,-0.03701195910673137
2.2870938559583496,-0.00501763522387531
2.2762152589430187,0.006421258844469386
2.3197664520124195,-0.06525170096690065
2.2167000759374336,0.03614757504912668
2.176059886585883,-0.013749718954406716
2.1232868694457157,-0.07317943156022931
2.3832432522895295,0.04603664875250275
2.298275100289127,-0.15132794436797145
2.294858193017391,-0.11405594924354515
2.3155513960086584,-0.15041656190475894
2.403366703073325,-0.05924267726277297
2.0626565200121805,-0.007422862193821622
2.0901562409526413,0.12255714804103693
2.0846975385517315,0.1443639555523565
2.312562840553219,-0.024296069675322964
2.270795963916329,-0.1353348246073667
2.261464254031846,-0.13887633798184376
2.2982087282885795,-0.16143225664462205
2.2886023400162756,-0.17160386159638757
2.144310396947418,0.15231259322611923
2.1655147133524077,0.19111166396213658
2.1737834363372057,0.19577401170946296
2.3686750705514497,-0.1710508209962332
2.2284362754736327,-0.09878230726932935
2.2610749945032844,0.016496188640898024
2.315487569762336,-0.16900929915306334
2.274353739257288,-0.17545407710169567
2.2428117980403437,0.0818517070477492
2.2690791332815223,0.09091864255597147
2.1104624024403544,0.030567235129124806
2.2332487657645355,0.0172343236482738
2.2340232123122123,-0.04581577316632671
2.218185647946615,-0.04310957280280611
2.2472144355858825,0.03707186218561711
2.2112506736604614,0.1710272610696863
2.1866108772907893,-0.13338723637080485
2.2904328679252717,0.1300045377446306
2.30860076498699,0.03254399078700716
2.3084355397028866,-0.10454473126958667
2.1741022955943374,0.01978757823181918
2.251141367101635,-0.0042304680258991355
2.1548443834754147,0.0017785287378557927
2.305328506901954,-0.03881036582200459
2.284688544897517,-0.07955927474217914
2.3601685499220344,-0.09579943324950933
2.3914336318737672,-0.12508595270688322
1.934934086116141,0.18554625946361278
1.9784167457327597,0.16906722535308058
1.9356304855495703,0.14948585193109035
2.014890378041812,0.118049936247394
2.1903878211885295,0.030768334004980517
2.335613503168097,-0.17281647598846506
2.3813209485846696,-0.15098020746215585
2.280655100210261,-0.05389072342097088
2.2120787026674127,-0.1014585330136927
2.154873336680445,-0.0703293314847058
2.4510630151208117,-0.02593126565561949
2.2387952934205173,-0.1066349426963514
2.1725204337447703,0.08150210438074512
2.0707849143342623,0.11782226199582466
2.4565451970591883,0.005948538070900173
2.493920717133948,-0.21524259465355983
2.522575173207772,-0.2386199614630789
2.560352753400254,-0.202186976788044
2.519464712771215,-0.23794174817977606
2.467435790004634,-0.11087122606711321
2.4633451661345553,-0.10958332911422508
2.3682059707428196,-0.07472370314765747
2.335794421167933,-0.11441316837538966
2.2539563299851366,-0.041192894325640404
2.1281631124255282,-0.043336982303576604
2.0243955822499093,-0.05095526075816165
2.5034840770725113,-0.04471390516869941
2.426533455627128,-0.044493621338295104
2.4366432536506024,-0.07356981072426014
2.3888566798457274,-0.15653279492171426
2.2838105976918204,-0.09796350446690555
2.52467598586636,-0.013800068319417502
2.452334746059799,-0.09397405748665162
2.399167301372618,-0.09553654032299895
2.437489561592638,-0.06946094446896829
2.371921087199056,-0.15963870446361378
2.2375359357008517,-0.09405649266210733
2.215903756214219,-0.12820411650174166
2.252839639508644,0.03655896145773248
2.0500533203119495,0.021011547936671076
2.0171923903226348,0.09360650694111294
2.001548408050316,0.0889666699430288
2.1237732213478124,0.2191121220494442
2.1017758430394102,-0.10449438631061805
2.4572636395248697,0.012884445758448304
2.2747604887998283,-0.013869419043236164
2.2933554842536283,-0.11887822438250553
2.261335744613117,-0.11921986574225188
2.3700267422187427,-0.05210946581390743
2.1093273254721967,-0.022353676778189755
2.4300976274373474,-0.11172864182234074
2.194098280562448,-0.08566519045207291
2.2516513240577414,-0.13659258058013457
2.148721139875406,0.04489159016335884
2.1772281067029056,0.05066253741356946
2.373933762109795,-0.20607041295453357
2.408921338515685,-0.1658447425522433
2.402283076077693,-0.17892296519000264
2.1485715942413672,0.028516042248668057
1.9851376914844918,-0.025666364266809162
2.0464693401546548,0.05147204268611673
2.0793315233880265,0.049707369849580754
2.1315846610353675,-0.06423607526307876
2.1252172395151674,-0.041438083145442006
2.1192299476095435,-0.041801327065278754
2.1257093014710353,-0.011774178109954458
2.292142718945045,-0.0012568849771252076
2.329561292634747,0.024510267480742597
2.1526683367454207,-0.03412973294542081
2.247360884744847,-0.12124630513075024
2.3510705711825532,-0.12986772313072067
2.324667704411132,-0.096976179887435
2.3499998799291553,-0.13320909282120233
2.2390419219977806,-0.06586502423557326
2.4599363198973334,-0.10273554916306794
2.3931139253490743,-0.08610518664495043
2.1791209976568577,-0.08140156806747055
2.1178929683359766,-0.014984735647191388
2.141571468071406,-0.016328615080606033
2.0893126027959052,-0.05097302712281962
2.1645325745468655,-0.06866722084827319
2.2305505397291605,0.02592064138001922
2.2216360715920263,-0.010149643726119829
2.3076589076954797,-0.07840723915835124
2.326553743214341,-0.12322299182970461
2.360564731297612,-0.13116295794831404
2.2714375174487955,-0.08096666742209102
2.290513590014751,-0.1387812266020931
2.2970321991112668,-0.15158102402933427
2.2376875113379158,0.00969547677739939
2.3153602960473525,-0.017576514616267646
2.3286203296371233,-0.05211044099419085
2.38971119117657,-0.16473247976170582
2.362882030494043,-0.05354578862867311
2.284930555944908,0.01747545469473724
2.174518297882782,-0.025688332112231007
2.1147632144851993,0.10504253292928209
2.222386479874668,-0.07504964977227159
2.1702908802575425,-0.05436526117557413
2.2660757847638897,0.004782233249072178
2.2235454647410418,0.02710765568826238
2.2383402334335645,-0.03573292674175802
2.227233251647053,-0.030119386654845474
2.141670426567826,-0.00041894106285010624
2.1899638460282027,0.05487327661290854
2.1473013372000165,0.045177976483240186
2.273709143130507,-0.09462727915005115
2.3306229053574903,-0.10241923859236444
2.3418378076372712,-0.07988803095957563
2.223944447458653,-0.11564166196537116
2.2880318104089707,-0.09432663619178308
2.389858324453627,-0.1131723713325856
2.303700277618703,-0.1331723294908242
2.356648333384465,-0.13133483849283098
2.2427470860634466,-0.05673760190219794
2.449268927990459,-0.21077314391786695
2.6103575605553586,-0.22002612941418018
2.559580122720035,-0.2752636094518665
2.4901470626700415,-0.18869656841550728
2.2579964305499294,-0.14727988487080784
2.325882309450813,-0.08990773985251221
2.281287069940713,-0.10031144850238125
2.4132536419897828,-0.12416425720353755
2.4595040200193834,-0.191947865669766
2.3911189135438056,-0.16371973048025573
2.3765230238802326,-0.16398438677249366
2.4041453731293423,-0.13822108497956814
2.4593713618934863,-0.15708283405050272
2.5521522625521342,-0.19379705667213137
2.422715682609526,-0.1917841020096038
2.376302742355322,-0.07200456643263851
2.3880937177850634,-0.18710642857053544
2.346513136251535,-0.19207691253358428
2.3734796143842765,-0.16230618349634376
2.3234377756143516,-0.075556547896837
2.353192497981842,-0.15728347428732906
2.3874449178648143,-0.10741671860733272
2.433503493246539,-0.24365492750795426
2.465175672596656,-0.2160877748446947
2.459692023016018,-0.2135608962145198
2.5146385565932547,-0.17502243077777674
2.50051315342004,-0.23601034374752017
2.5038247664055855,-0.23208350485804888
2.441031346835045,-0.20116453522555872
2.192543157140863,-0.006535085416680719
2.0016624863322017,0.054844275756653196
2.068571450776094,0.04568687513432316
2.057081365448805,0.042111591655084143
2.076164386477454,0.07187885842791517
2.0886804200633335,0.05931222155651657
1.9567313884027124,0.1339882455791532
1.8980621706042924,0.13071457100200748
1.9804473565732807,0.08862789673908245
2.515740868814387,-0.21287857836064614
2.39594006221796,-0.18172744841018262
2.3744793508923037,-0.16292260915356505
2.543183033204823,-0.2361575489630978
2.5434218574982785,-0.2570397904364584
2.564999646501691,-0.2307796597459351
2.1647098620649188,-0.010303849453150484
2.301088559046869,-0.09054020051935525
2.298307681540339,-0.09758649229339555
2.338604141752662,-0.008376948872781538
2.208313263210044,0.026263471929903803
2.406569478115844,0.018625414973272032
2.3921567873140726,0.0805851578056619
2.2438709431285004,0.08276805589628893
2.2648664295040493,0.008577928786561722
2.172129062229894,-0.05031769642310302
2.207005892108031,0.044966063035998094
2.246079323010576,0.04388623602207145
2.1031200637156604,-0.007533759182894718
2.2837660764451453,-0.08542554599941761
2.3432665792466554,-0.12788534214425046
2.4886832424736363,-0.24381459488860746
2.495213768600875,-0.22735855645029596
2.3905070109850954,-0.13267571768193148
2.1564720125049783,0.04287460680384814
2.2309841839173528,0.01564100722630593
2.1821121814485793,0.057659594531478675
2.4206343481809482,-0.14496465843292153
2.37628282782553,-0.15972809293754112
2.3924840730389394,-0.1631754776573019
2.314198519180795,-0.1825725425417771
2.31108837713335,-0.18578463972086687
2.229138072516594,0.06987685964851911
2.079201287655759,0.06968077786446233
2.1823887446990957,0.10238544066038495
2.0151752012605377,0.0585939327078724
2.185237186765287,0.03788241215712285
2.224687664795793,0.05178573603469785
2.217276905599846,0.0294008038653811
2.189118413880877,0.049042256215960194
2.142329161485783,0.05672835070140839
2.543395755778378,-0.27475577115615823
2.4301991744303773,-0.16878121810517432
2.2550896104593945,-0.04186111737503117
2.280160489321408,-0.10288116082385615
2.2709532560279224,-0.0012993362782202096
