log_sigma,mu,xi
3.3194021208099094,94.46300537359085,0.30130344697713607
3.180116858278398,103.51475500006715,0.2557796090297866
3.4366164329938753,117.21212587630166,0.3739561489536308
2.835478656523737,109.56614812219318,0.6620657363476823
3.0941211776172035,112.37759069265073,0.12257702528423865
3.058448781655011,111.50712983794564,0.4749149661903621
3.2614533848705736,121.14093681797765,0.27210228582914164
2.9857364966494564,111.46218301269691,0.42842326621610977
3.025888662356303,112.23343732646195,0.11320436193361982
2.9743264737613764,110.17136335290121,0.2572048834900222
3.266602634176404,118.07522045674726,0.2703541569123551
2.577897989449469,105.80610031264374,0.48158104052341144
2.765267226635879,107.62511223271969,0.545647427168181
2.9423861700019964,110.73225015502732,0.2582360309221742
3.115271966717068,114.60105341449415,0.2957082602908662
3.3823501450402835,124.12713690084762,0.38919335845222575
3.3738969159953847,124.56695644481643,0.4425466146523309
3.3237081255746816,115.34264026576284,0.5371803640673231
3.497242875111185,115.31069700055556,0.4542668148238591
3.5093992685736537,115.1140680209887,0.4309804933509184
3.674830475310841,128.20916758668463,0.24840624129101263
3.299257772711361,120.71501047928902,0.22250938709443718
3.426699577245997,128.01928183316633,0.04337334505978586
3.3727195717925023,123.00488722250935,0.12715071045725893
3.4794006331640053,120.77437060917957,0.007441839221983017
2.8728489278596254,105.25606100573704,0.4349916930647417
3.081670474194783,119.57165307820532,0.31625507496763566
3.2985010756142032,115.65529146889695,0.27482858168554625
3.0240409763545593,109.35581958349223,0.3242803173037265
3.262850891363504,110.07593534863584,0.12667688764266197
3.2506246159916383,106.78296910292093,0.2955657431028987
3.249419489441064,120.0353515111421,0.23180616983542032
3.487778088326214,121.36529848563951,0.18210583149906137
3.4345629275963687,119.76866633856552,0.2970274148541594
3.0782973541514402,114.93213128996119,0.5070812676912168
3.4076922477952696,110.82203829111525,0.07445747366665316
2.9190727632757123,113.92039923234418,0.44833637470806303
3.447684651540081,116.63159611091099,0.3367954422272323
3.0878982012980867,120.74863800003487,0.14221970333435138
3.3203829034576917,121.51930056748867,0.17150844072844357
3.0034725880977042,106.94791700034608,0.3434432947322513
3.092650764195079,110.4822908083472,0.4212712723702004
2.794156762722113,113.95186470978877,0.3417889244195935
3.364469548138646,113.72740956125791,0.2389845304882615
2.9483079682130255,104.78435419112135,0.2905641258248092
2.602710600280108,104.7221259577796,0.44315567924083005
2.725163358868072,112.01419548187314,0.3827675215342666
