z_20240201,z_20240202,z_20240203,z_20240204,z_20240205,z_20240206,z_20240207,z_20240208,z_20240209,z_20240210,z_20240211,z_20240212,z_20240213,z_20240214,z_20240215,z_20240216,z_20240217,z_20240218,z_20240219,z_20240220,z_20240221,z_20240222,z_20240223,z_20240224,z_20240225,z_20240226,z_20240227,z_20240228,z_20240229,z_20250201,z_20250202,z_20250203,z_20250204,z_20250205,z_20250206,z_20250207,z_20250208,z_20250209,z_20250210,z_20250211,z_20250212,z_20250213,z_20250214,z_20250215,z_20250216,z_20250217,z_20250218,z_20250219,z_20250220,z_20250221,z_20250222,z_20250223,z_20250224,z_20250225,z_20250226,z_20250227,z_20250228
1.0197503739650544,0.9380610081996827,1.0804330852989545,1.0796103467125775,1.0804330852989545,1.0764970536600764,0.2975451606346009,0.6882686478973556,0.9527617716094195,1.0804330852989545,1.0804330852989545,0.7384714341810823,-7.895067593745413,0.5464027397244199,0.44554633238104246,1.0804330852989545,1.0808015849378605,1.0804330852989545,0.3837285904184542,-10.906177834218507,-3.8959627118968356,-4.670486674171535,-6.243994658100654,0.5475945703141194,1.0193128192996348,1.0804330852989545,0.5013091285159592,-3.3089001143883685,-3.827362511122831,-3.2317295714343963,-21.810104374328017,-17.64988684206676,-54.644524667777304,0.4832633396804573,-0.3874207872377413,-10.638144724752236,-29.270819781562754,-11.782601834531414,-9.714067693368156,-1.0128309169245715,-0.12460452776494413,-0.9351629784517854,-4.076829193699255,-16.957567441056987,-33.41704710429909,-52.28151708495918,1.0280269827444941,-1.4385129408123718,-2.3049242944151938,0.3246346040575694,1.1555377889830472,1.1103437322608978,-171.98641002685665,-226.07298590707126,1.1208727156691396,0.4862767965374194,0.08039205666687832
0.2959140852979095,0.21994020935953512,0.3521158193940671,0.35136567581769806,0.3521158193940671,0.3484668391299086,-0.3832856934594253,-0.01537800654346344,0.2332633955793329,0.3521158193940671,0.3521158193940671,0.03662641613382672,-8.014855859060129,-0.14766484445637396,-0.22680610221401842,0.3521158193940671,0.35253225630018015,0.3521158193940671,-0.29429222481277084,-10.855383816280733,-4.304095164292572,-4.995050264615305,-6.451388650481893,-0.14636869954059772,0.29551631887857854,0.3521158193940671,-0.18659159704565131,-3.7685072171161496,-4.2412332363993785,-3.7053380716103748,-21.244889575295737,-17.075272106445336,-51.494916371142814,-0.22758795193658754,-1.0376687515171459,-10.685648423250258,-27.995193337174616,-11.618241159175986,-9.798405952022417,-1.616619229067895,-0.7925562393563998,-1.5495196483869131,-4.460965708292941,-16.453533718034173,-31.96792206929124,-49.694992195019644,0.27917701413389084,-2.013884442617846,-2.8349211540878243,-0.3833244479031793,0.3974909752979976,0.35603701510646524,-164.6764868569064,-214.06273427070275,0.36577553982831845,-0.23010162430482406,-0.6075761600852185
0.1526377518556073,0.07671135041338162,0.2087475094595397,0.20812708514296857,0.2087475094595397,0.20496454269534228,-0.5061850840098243,-0.16126149421990976,0.08911852446153617,0.2087475094595397,0.2087475094595397,-0.10918871763409177,-8.159207424068363,-0.29155781934199865,-0.34994343409355033,0.2087475094595397,0.20925660842778232,0.2087475094595397,-0.42879757570724464,-10.95799435492829,-4.382984517105307,-5.119636701910736,-6.608827132555907,-0.2753665410180316,0.15209682775331956,0.2087475094595397,-0.3329573752255923,-3.834473218053988,-4.435875133063601,-3.842398033864532,-20.8100283422182,-17.485477683136267,-52.20396531893579,-0.38902580969860334,-1.2006852414411275,-10.682905615189938,-28.272025369938767,-11.985876661994235,-9.888243672225917,-1.772702042916416,-0.9449949108869817,-1.702467057547942,-4.649237251074183,-16.819344535291766,-31.9825836763481,-49.24648768039043,0.1264713716021188,-2.1961653152445657,-2.9569274073214307,-0.529374487514732,0.2433783181480383,0.2069728082311157,-162.3352484882265,-209.4283178100705,0.2131396282273123,-0.38149726387372185,-0.7452825628630557
0.1306713790676607,0.05492584520624072,0.18841583034063217,0.18758910206325724,0.18841583034063217,0.18473533393300687,-0.561572384016245,-0.17330870437576285,0.07055669393790576,0.18841583034063217,0.18841583034063217,-0.13125059020144958,-8.264978725768486,-0.30506761088465195,-0.4092715179788299,0.18841583034063217,0.1889258824957158,0.18841583034063217,-0.4774886182733432,-11.058538875701876,-4.516983361940847,-5.306426655781443,-6.750172706423357,-0.3233179426324382,0.1303426554180732,0.18841583034063217,-0.3449722571703552,-3.9699998590207013,-4.283126968120563,-3.817963489629137,-21.593468250271286,-17.19073225422456,-51.86999319300452,-0.39346175049860854,-1.19568111241243,-10.870976090372647,-28.030174639170536,-11.712518118678236,-9.811322886964302,-1.7984842286246576,-0.9385843922538579,-1.709788924383552,-4.6186121942518445,-16.506063744903607,-31.95097312947817,-50.19662715171188,0.10907864923594679,-2.1896888096175617,-3.0369290676011684,-0.543035454169181,0.23057045546653418,0.18837744891493918,-157.41113897020546,-211.8678436870349,0.20185788414219225,-0.3975152632060712,-0.7687388464189051
0.1189803916255649,0.04216468071410939,0.17678889543450782,0.17614987148743058,0.17678889543450782,0.1728884869315273,-0.5508248636465566,-0.1937790149963463,0.056108094609456316,0.17678889543450782,0.17678889543450782,-0.14903131770498013,-8.356109918395848,-0.32479686769240645,-0.3987708162595014,0.17678889543450782,0.17739443016059148,0.17678889543450782,-0.47926130136902334,-11.140738783025595,-4.48675240158504,-5.3128984705392,-6.826176155326187,-0.3174460674577122,0.11842622711356576,0.17678889543450782,-0.3685289683571039,-3.913517753497546,-4.446578057691521,-3.8756784475579567,-21.013547334696906,-17.794013038856786,-53.24288485771703,-0.4311691987709223,-1.2476908418916988,-10.799824747366044,-28.58130687403214,-12.188783513913968,-9.900916694589538,-1.8437846405597593,-0.9770153411799014,-1.7536748516664558,-4.7498133858408895,-17.04767503761895,-32.22277590905054,-49.88720261160537,0.09086729090666229,-2.27579340961654,-3.042305390610224,-0.5622374867917492,0.21096747720924852,0.17498452334767595,-157.59015552763935,-208.37398758287478,0.18285971559608175,-0.42035863367330917,-0.7795711534065202
0.04954230639734569,-0.025902898636934568,0.10649882690969134,0.10578592613353893,0.10649882690969134,0.10275616689839348,-0.6245429439662227,-0.25703557473237226,-0.011723057792207559,0.10649882690969134,0.10649882690969134,-0.21200256283673435,-8.288906132051615,-0.38728680683936667,-0.4704689420972903,0.10649882690969134,0.10704704984468266,0.10649882690969134,-0.5448651873173922,-11.060244098458085,-4.528821253151143,-5.311525688412346,-6.777197583092497,-0.38996135808485466,0.04909683382818192,0.10649882690969134,-0.4281776674133868,-3.975114655121483,-4.412249707034561,-3.8957293567829847,-21.178127482912988,-17.392877683885242,-52.07593796535791,-0.48586232253633155,-1.2877691758415672,-10.811901952665277,-28.127876552161613,-11.9095010173827,-9.864003257954407,-1.8778371995354473,-1.0283918576351452,-1.7933002360966914,-4.713042826336297,-16.695075900168856,-31.899646754566934,-49.61918765111828,0.021758167023598063,-2.2864597384671272,-3.0857043675523372,-0.6269305803123567,0.14087802260938997,0.1024001780719907,-157.4850078555407,-208.76296129766388,0.11242677149512631,-0.4831179479945983,-0.8459147500981763
0.4048272224804349,0.3267938900191496,0.46367532011294577,0.4629274482867899,0.46367532011294577,0.4598157659591262,-0.28856474599708704,0.08883064557597153,0.34147576839480115,0.46367532011294577,0.46367532011294577,0.13377724191062224,-8.196979690776105,-0.04588238705114156,-0.13833621827596287,0.46367532011294577,0.46418626500003357,0.46367532011294577,-0.20924146606344263,-11.051559273936011,-4.314744389877597,-5.123961274430441,-6.640576409925348,-0.048069195367691386,0.40436790709823145,0.46367532011294577,-0.0892950155451614,-3.740348218792353,-4.202583357765508,-3.6563828720010854,-21.420949151871827,-17.60425363718429,-53.3946872968811,-0.13466601947738666,-0.9642699413963502,-10.767124719974115,-28.667100119491742,-11.942494694686415,-9.810239484848712,-1.5736884809181806,-0.6986462870661145,-1.4862246208738008,-4.507362014426013,-16.88285230631477,-32.5339762131565,-50.75432773309937,0.3897455256164875,-1.99356969240724,-2.8144612907742768,-0.2784921866379252,0.5128110884689419,0.47235515067820605,-161.47325850800004,-214.60958033348282,0.482690437218274,-0.12989837528638015,-0.5068024042842216
0.3979891501233343,0.3220664344327032,0.45276831205508594,0.45207068430258623,0.45276831205508594,0.44915949217302165,-0.268684496909832,0.08155636359764462,0.33363713880027807,0.45276831205508594,0.45276831205508594,0.14190822610145765,-7.815553252267495,-0.050663228557867535,-0.10829543612465314,0.45276831205508594,0.45311135515721335,0.45276831205508594,-0.17633806966564403,-10.683708512615292,-4.146883970418014,-4.758252187776134,-6.215482972589803,-0.03393696510468169,0.3975500611559579,0.45276831205508594,-0.08840288626119674,-3.626649633505771,-4.231397095707384,-3.637430444940458,-20.952889291720755,-16.94963176255226,-50.99343154574142,-0.12364648624375829,-0.9374806766079926,-10.549494378618325,-27.91724199733807,-11.530114420130497,-9.802533723841476,-1.4938958423714626,-0.7033130271448944,-1.4461946121065496,-4.347247190962193,-16.385087287592,-31.913379654017753,-49.20906705720148,0.3841699185183055,-1.8939812615888192,-2.6942581939057413,-0.2856918620344394,0.4996074277400522,0.45874856696549,-171.11294278380143,-215.52187596633877,0.4653542017246951,-0.12573300823325595,-0.5078278500218951
0.5129937132942679,0.43576176499431324,0.5703660842820246,0.5694261155947591,0.5703660842820246,0.5668174795752898,-0.1976093037431258,0.20372850688604094,0.45159004614803516,0.5703660842820246,0.5703660842820246,0.2527392197657729,-7.9210435411286095,0.0682727085395104,-0.04288114807578791,0.5703660842820246,0.5706999999204915,0.5703660842820246,-0.10010856309163851,-10.836901789358174,-4.219202545752891,-4.892193135606744,-6.31207565935639,0.044831228226681064,0.5127901539580834,0.5703660842820246,0.03162532279281571,-3.7045512894180543,-3.9826181070489017,-3.5161857854748906,-22.0044927687782,-16.708056967064298,-51.164974630100645,0.01025165245255133,-0.8058092820085168,-10.778265098547728,-27.85365045720094,-11.249520791712333,-9.705648454118839,-1.405090653607529,-0.5660401562800077,-1.3325851914320048,-4.240459027980279,-16.124695279104223,-32.12441783237386,-50.78616835751732,0.5105139246507475,-1.7717439612651456,-2.67100473066063,-0.16211288494029552,0.6327158577551057,0.5842181010739445,-166.54918548846297,-221.33217537547267,0.5997951063659767,-0.0043592817302937625,-0.3980270028474022
-0.34498425277193867,-0.4208787337322776,-0.28873672624556734,-0.28914129668664634,-0.28873672624556734,-0.2927985087695324,-0.9695734441769678,-0.6561565823960887,-0.4079109324705702,-0.28873672624556734,-0.28873672624556734,-0.610348421643608,-8.682747455119493,-0.780797775621191,-0.8123893989725302,-0.28873672624556734,-0.2879245528890416,-0.28873672624556734,-0.9173657010594656,-11.36345675723261,-4.766983303432247,-5.6270243052442055,-7.147136268221035,-0.7519727761102278,-0.3457511285461697,-0.28873672624556734,-0.8254967570051039,-4.198304295463574,-4.911104752907099,-4.252634998076888,-20.28667386902382,-18.330745364610053,-53.482183501602876,-0.9200908637285259,-1.72367821394669,-10.892367891502078,-28.636132397247366,-12.773813861292618,-10.106853912206773,-2.2966599060026702,-1.4372867152883175,-2.1979066919319905,-5.1944658746181185,-17.534293808679166,-31.839198841175484,-48.58467746137234,-0.3950635465330213,-2.757935634483005,-3.4069475239146687,-1.0245718467841247,-0.27995584624686565,-0.3073728266183603,-151.76817437325334,-198.28908668810644,-0.3045861485099131,-0.8958089384672765,-1.2202753125632322
