,rank,elpd_loo,p_loo,elpd_diff,weight,se,dse,warning,scale
modelEElev,0,-986.9262839674536,26.967411265812984,0.0,0.740898280649802,120.8461247174245,0.0,True,log
modelE,1,-1082.9819575586114,28.22794111714552,96.0556735911573,0.259101719350198,142.16664082382155,47.18637809095489,True,log
