,rank,elpd_loo,p_loo,elpd_diff,weight,se,dse,warning,scale
modelEElev,0,-1073.5492832266737,40.7659560274019,0.0,0.5061396517784202,227.3162374513454,0.0,True,log
modelE,1,-1081.9807021794543,35.30356065057367,8.431418952780888,0.49386034822157976,232.30256245073255,15.334655224999022,True,log
