LE,gammaE,LElev
3576.68334100346,0.44841676144687187,8617.615763253438
3077.1379860536526,0.4547037810456775,7662.283562918682
2755.6482147374295,0.46197517518001413,8177.159453062466
5037.022596025771,0.4256948785154838,7943.8163565594405
4173.301929858536,0.4291847734996218,7522.237780832368
4589.197840097439,0.4321952850815548,7877.81937381415
1684.7294169952484,0.4942859250458979,7899.6583073684715
8302.493249781503,0.39475078890527726,8443.634413120062
2538.178332890793,0.4820086695254234,6854.801394804498
2161.4951692117033,0.4624288364567376,6853.99197517868
7492.183871584429,0.38583145642617095,8698.91316519273
7643.286869726732,0.39769582570747986,8331.424309333244
1456.9025309858746,0.5032689691613828,7563.323438481228
6039.576611628859,0.4141493204920537,7078.53539070198
4052.147288808924,0.4261234620135868,7629.679990887602
4372.499984891123,0.4422161668854928,7898.381709745767
2655.6913791123584,0.46153450784532113,8332.230163396232
1335.7625633164344,0.5068100766262179,9374.208847736925
1453.8021883216854,0.5122487018944533,8890.17597469145
1485.02092338936,0.5156424519409466,8613.015130249541
3059.8812483016236,0.47107769009528305,5377.688149182152
4764.111064458656,0.43462124947886194,8767.186081715172
3821.890419689876,0.4298779008004833,8513.401806612472
3776.273225282918,0.4491427665793329,6278.947321446031
4316.662249865834,0.42967725542859975,7900.07341026199
2756.3036691995608,0.4671628654700385,6068.333170536501
1123.2479500569457,0.5338737395081311,6492.794268564837
1343.6919805699008,0.524551493645032,5287.7166162941085
1372.995706821116,0.521793457525878,5474.869943390506
3923.467549817735,0.4328818039675919,9665.331948307989
2156.824180974779,0.47246455076308436,7962.171573581707
9970.605590436391,0.3892508328110004,8875.567413632927
4409.931884837328,0.43703325065347515,8990.648832072406
6777.156050240653,0.40011215266290173,8436.526240231864
3395.853655875488,0.44095333733160685,9221.824691599099
3446.7591249851234,0.4484882412334348,8789.72669395135
4118.770216533665,0.4391145453705784,7934.572009254411
2708.432359658934,0.46492131162000605,8385.373083221748
12055.697240714713,0.3806709009632009,8404.85776798344
3663.1208668813365,0.43912930286282426,7781.433593974567
2083.4736839663424,0.47467979920561576,7323.976076908374
1588.2447562270722,0.5124990139696732,6518.765696735066
4435.842057324577,0.4214360382784073,10263.59372404328
2835.166783256293,0.44676256977389767,12315.902790137317
2921.23039732379,0.45004392518122166,12148.25801284725
3151.121364101776,0.44859252077502487,12654.710104356092
3638.207981168881,0.45309084674456834,7822.397395357214
5371.4694910670605,0.4308073384531485,7095.207407383919
7390.23866880025,0.3981780723919866,8275.654808188086
5649.165013039839,0.42666827291481213,6168.273338807051
6351.770943649776,0.39889377306599993,11959.78438002888
8997.482081378703,0.3881984909100444,8194.403829526384
2535.7774204247444,0.4680855141310889,7720.3153920249915
3069.2951538253305,0.444800319516853,10847.220661512252
2069.415341845304,0.4741192667682864,9350.501610493771
2222.3916255354534,0.478497195437284,9294.597279305248
2623.7256418807006,0.46305755311768015,11162.803371359383
2788.14913992108,0.4638226130198072,8906.284978419211
3131.8940191994093,0.45090674918270857,7980.662665057652
1660.1116556748998,0.49256193398357756,9288.63646340362
1461.7694636329718,0.5072469286194269,9669.256945306124
1686.2360486468683,0.5049708664993513,7464.860158257679
1335.973341092538,0.5096427147730979,7713.734127878295
4206.449561476279,0.44070756701028774,7180.243803691017
3693.5171978362405,0.4473261577768292,7471.507947508832
2535.4351631740137,0.47083037268917044,8008.5026805832185
2843.887924087444,0.4593531298425514,9392.456432794574
2494.796185240122,0.4682971266748765,8645.160331406174
3753.670512078215,0.4443190004565261,8199.251652506035
3308.1354675081384,0.4505961029725027,7889.873160249639
8777.747012247884,0.39251299326376926,8268.582403970173
12756.442574738605,0.3758841991680837,8292.29796011908
7048.894258709437,0.4085581188248488,9772.60492341324
4685.840663099858,0.41847643211317487,10434.201010222223
4840.8732712744295,0.4212253015377299,10483.038707697462
4183.74290529026,0.4248031269480004,11536.27146243705
10375.899138894945,0.37890878913589987,7716.348079153987
4065.5898190487114,0.4379546442106926,12159.517250316092
5253.149963287502,0.4242682611180959,8545.236024141639
2591.9726378191162,0.45866216381947095,10438.162630317243
4271.289003415046,0.4225850553249452,9903.398729378585
2258.5972864797636,0.47718433136358296,9712.036138536965
3049.234024031098,0.45780482603456335,7397.278265841492
3978.994255426706,0.4365990395585134,8819.667850016514
4062.8344531102775,0.43668371397125316,8909.33136326906
4759.351880670667,0.41345095733775167,10335.453536269944
4958.132538884945,0.43306782924264486,10029.515931394993
