,rank,elpd_loo,p_loo,elpd_diff,weight,se,dse,warning,scale
modelE,0,-1802.302416963206,54.51310081118686,0.0,0.6771152313685235,252.56123809601334,0.0,True,log
modelEElev,1,-1804.825267587452,63.76426603722007,2.522850624245958,0.3228847686314765,253.1300870709059,8.184381201647197,True,log
