,rank,elpd_loo,p_loo,elpd_diff,weight,se,dse,warning,scale
modelEElev,0,-2298.472242730566,59.93693402264989,0.0,0.6058337566195825,255.63617317851808,0.0,True,log
modelE,1,-2301.758098986388,50.69463287601275,3.285856255822358,0.3941662433804175,248.39954587422585,16.38638405549672,True,log
