LE,gammaE
3.0092458681059657,0.4957485822076125
3.866071230082034,0.4204147745370918
4.3926670205790765,0.40154346904466337
3.6825396012140112,0.5073381885256948
4.170074406843934,0.4502199383718182
3.9961244856399114,0.508907220737221
3.804349330918035,0.4718864504885258
3.8063443119044154,0.5398035039981945
3.1866092146673424,0.500110488390206
3.993593179384016,0.46565617125492625
3.3678926733171966,0.5061623181919951
3.379946170128066,0.4732037748241355
3.364781201712075,0.5013810182996673
4.1208169238292855,0.4350536458756422
4.140124039710325,0.4182726834957675
4.1627935302424675,0.4300168683443754
4.348688072692789,0.4538255188898134
3.6401864455417234,0.4927811408346587
3.3958017886648184,0.5696133930697247
3.169619027563731,0.4785835677547376
3.0743697579624167,0.5485485498887971
4.450142847649119,0.40479489823290005
4.203776666030162,0.4574047420740489
4.292636407970613,0.47754162554455165
3.277081070086723,0.49282831444154024
3.2042659717094075,0.5033500459429224
3.8108158330866804,0.5374731728180169
4.0459709670464905,0.44691131428650516
3.0411946830467054,0.3638888759245873
3.8977598446068136,0.5105000823988067
3.8361658999862174,0.5669022753117101
3.6444880362004226,0.5495297081413959
3.477316854951079,0.48815052331563613
3.865289645087447,0.5686022146055183
3.2655966192993517,0.47171657670312594
3.009756757590137,0.3908930823344222
3.892723653603607,0.46882679966057667
3.526495943475576,0.4628278678485521
4.075332291435873,0.46193630962852794
4.11594543259109,0.49624637749598943
3.732630515026601,0.5056789215765849
3.4098515693777887,0.5711044540912464
3.147480633886429,0.5089447900303253
3.2717024963783334,0.5431198928265293
3.2717024963783334,0.5431198928265293
3.5417705459764703,0.4614064305787721
3.8924247329767203,0.4885731914350535
3.5519575898210953,0.4184290562619016
3.3798540579511265,0.48477292483286777
3.1652406838508123,0.49825541501122833
3.245297038690415,0.519673389250396
3.2906534150518687,0.5103665604502028
3.490867807340848,0.46490216336917195
3.3356432316321305,0.42686703703329354
3.79530188423483,0.3998747480023381
4.301953499929922,0.38353762342047054
2.9762435467805033,0.48895444288902223
2.811721604852938,0.48163757606807245
3.2413645129095596,0.5475831852663942
