LE,gammaE,LElev
6998.134312593405,0.17003482618964463,4508.141784933236
6670.861441576165,0.1797232256105151,2910.4957303048686
2745.075109640412,0.21079615733035276,1691.884421034118
4695.971253384864,0.17939576850800093,4340.144121212207
1285.8460588185715,0.2473300586644216,1282.7062494167058
2771.213384937486,0.19393225667597797,3975.582038139592
3738.7184751874224,0.19738963165867632,3352.7515594556858
2617.1337877443084,0.1964403791284601,2497.3461480833435
2891.558982818141,0.2084462936013057,3967.7453627747464
1587.8687680466219,0.2282570618499864,3060.6608627293085
1767.7698557910007,0.2159348345961983,2730.817121875378
1123.4192306297518,0.2312343454867332,3206.8599791229817
4326.379207695376,0.18790368673252852,2883.126967709051
8386.812267620391,0.17854503068037167,2772.8631355508614
5622.273801361915,0.18009551989739975,2311.866586960189
4887.867388570605,0.18605311994885637,2211.4811970305545
3156.6049007076294,0.199942695651006,2821.636355551504
2144.17618860765,0.21912745440704093,2410.2829341249103
1704.704265571564,0.22421600534320882,2441.3307951662455
2829.7105573692374,0.20403083315492604,1782.4843591648519
4491.519828613069,0.19897661773261463,1379.104712121132
2358.733288678414,0.21241098289135044,3536.3663653226245
2155.524511678917,0.20485876458959176,3363.2541559998017
4619.992925335832,0.1929722285920453,2303.0405591672024
2527.5835101039993,0.21766873729350994,2269.10262311708
5538.473677253632,0.18174199309257755,2187.8769993432466
1024.9703220282029,0.22659447655570403,4483.857930783993
1038.2599701847937,0.24160690681326455,5088.311452057922
2173.0866632809375,0.2155793944446352,1787.818605989464
2502.851724916081,0.20336765462267622,3710.2203615370036
3561.3760754432024,0.1912443149177613,2620.4009656517005
3460.8241284210058,0.1904319685800093,2622.623253236349
3085.2809244534883,0.18911831080844102,2670.8248723413285
4226.68267247482,0.1971053729467585,2719.6366886445912
2776.5516263748837,0.19678542644408356,2234.5362120775662
4788.596699429505,0.19985691756281249,2380.1525178765937
14706.122722787457,0.15929472193199973,6271.560159812517
26517.673176851407,0.15745352818595762,2919.9674315905563
10048.310629034491,0.17524932036102128,2732.344565139367
4970.409156807883,0.1846103503366846,2564.6464024779434
5484.468681386081,0.18762470578814766,3552.265867521753
4168.710337392079,0.17893198470289703,3372.134373381921
5623.844292974884,0.18847579705977707,3225.2654847787394
3143.557898035287,0.19264275784939736,3192.4763249021066
4244.823305406192,0.18923545425476446,2180.1334348963087
10231.883415235707,0.18254199302770677,1717.8049945254759
7647.922860066792,0.17937992170784856,1644.375620940822
5801.663457289802,0.16993264045053869,6654.133463684962
12083.530230279053,0.15763835974398327,4048.4312716987815
20156.865211335375,0.15813747213227977,4647.928198348386
30878.03688025995,0.16043696189499937,2124.1508820006475
1968.4008459136328,0.21521279260391676,5344.064590761201
9028.211652760758,0.18077896348850966,2706.5363997479258
12430.745725556486,0.1605770879436925,2718.4330391949725
23514.997005846984,0.16218564497911722,2975.540867219962
16593.233507849454,0.16937715405651826,2093.217920321496
18499.129628685052,0.16393876173600191,1944.0646459083207
18946.808259794103,0.16553471453576749,1882.1909842727105
20774.456855148066,0.16862086015063912,1870.1393321026549
7049.685996819511,0.18879991842361266,2134.835720431186
2372.1325200542383,0.21653453742247436,2347.833869259933
1399.3108937000095,0.22802312042908293,2262.202185480583
3216.316486205754,0.19902766967361024,2621.3567226314785
4680.191715645535,0.18993040462539415,3655.9175594400745
