,rank,elpd_loo,p_loo,elpd_diff,weight,se,dse,warning,scale
modelE,0,-4229.220732012551,43.67287088079411,0.0,0.3343288259271223,392.01543189149487,0.0,True,log
modelEElev,1,-4231.725684878855,50.46844069996041,2.5049528663037144,0.6656711740728777,398.19372197782104,9.851613644476231,True,log
