LE,gammaE
5936.7070709176205,0.15740950182098098
9504.954875616952,0.16361850476854686
1689.0163621054332,0.19526342075212255
903.26605533496,0.21441438433405444
1177.4775281242732,0.2100153715843206
1363.596659091305,0.205947355486812
4794.664741911863,0.18215872399833108
4032.1614847641795,0.16190050914765378
4433.8527091409605,0.16329822315692222
9696.640046945138,0.15829544059887687
9696.640046945138,0.15829544059887687
10209.148105497454,0.15176420965494788
3556.9924677819645,0.16821265176977643
1861.3193122900325,0.1910480401188818
6758.716652066668,0.15900634425417393
2997.100902408106,0.17921578146849484
2863.5654084657094,0.1740795706035571
4615.218289506037,0.18038891149043976
1520.5412060138515,0.19700653232199763
2025.5632904085724,0.19185800846579207
2107.5494475792975,0.1864602153340679
1072.6166891698322,0.20764426367024086
1283.5797484928933,0.20837451660064255
956.8431135147167,0.21504285079425609
1056.79667274592,0.21541742285975216
1233.7961309415825,0.21781381060477234
1128.5393010826283,0.21603835724953
10344.590401872652,0.14238751017130657
11544.344802779271,0.16305885369515746
10731.177153017095,0.16222505213189925
5840.203129110957,0.15313118359586658
1252.9842828312487,0.21233032844839428
1072.1728841744032,0.214303160999376
49577.13065352096,0.13778947170464204
6062.133197436843,0.16996152338988613
6966.878961505851,0.1636442514038552
1968.3997550555302,0.19089985052459763
1968.3997550555302,0.19089985052459763
2671.3509066644065,0.18975917433901726
2271.7552443932946,0.18827735216945352
5202.065667368674,0.16779277611004972
4444.793788366663,0.16389614305442984
11165.705322358192,0.1553257728498057
11666.79179327604,0.14622055222758387
10482.231510040456,0.15060419986886395
5688.899876307725,0.15634152506231333
6082.48473785979,0.17344794153134585
5212.986215432808,0.1617408818504639
3600.158337228471,0.17799170085319652
5971.746511077809,0.16688426731136005
2312.17941888144,0.18947626630427566
1327.984982855048,0.20502831151870232
3385.2009278694436,0.17150384652097853
3385.2009278694436,0.17150384652097853
976.6188911476787,0.21416155375695262
858.4734908985064,0.21574518489099767
918.1216138143469,0.2159376629037889
789.2982962073278,0.2201895765291092
1160.1700528286285,0.21127445471420472
1218.7760662923715,0.2098818532605823
1464.499873760451,0.21411522664089563
1464.499873760451,0.21411522664089563
1448.0741846005162,0.21111439830265508
2938.5026166185366,0.19036364099722194
2624.1180658122607,0.18794520792204295
930.6233327673564,0.21345291663829838
842.98050930768,0.2057445192700604
825.4625690024027,0.21051466730867407
1025.814022572595,0.22041770987495335
1243.3202828899814,0.2033207094425104
1168.6211382345948,0.20054480433560393
1297.264877910065,0.20159677280683672
1179.3306957631728,0.20883430996796093
1179.3306957631728,0.20883430996796093
4370.234189612486,0.17044707496779948
28596.028470905614,0.13918162852160046
13358.090743944495,0.14653894141638435
2265.4456798033266,0.1858451467991072
12839.827037701303,0.15107772622868665
12382.334013026426,0.15296513739352532
4265.995504419112,0.16798027029736318
4619.731291422668,0.176977340739849
2039.9825259283982,0.17777249415066035
2320.836161521563,0.1811474285709206
2271.148911874367,0.17996152810229388
18412.30243566026,0.14224825147137501
17424.240571159076,0.14665730925688744
20183.48239426542,0.14618878976915353
11397.757541114077,0.14472561528474312
14017.097501623875,0.1466508273682348
11409.86472831849,0.13974950052438487
2539.4228841839717,0.17098881822238532
5552.617736673188,0.17613502643755888
4290.997980380341,0.16153412040649903
5039.852548759241,0.16642858568955862
892.9905906508426,0.2102598374154279
796.1234388817877,0.21536150213520755
1595.5729410337979,0.207813641116516
1353.0955353579218,0.204840148107945
2909.3927589430023,0.18177248126196957
1635.826692311981,0.19892625835657005
1604.0348695262107,0.19859520495759664
1112.7174603605877,0.20907979183227315
760.5568834960125,0.22222247846215082
1073.0391822684915,0.21312071245944292
2125.717446943688,0.18658400697960528
2389.0522795988727,0.19209514063385258
1637.0361410720175,0.19462861140468996
1637.0361410720175,0.19462861140468996
2314.0089338184507,0.1872988476384828
2573.224862766272,0.1891617801431398
2370.522213368872,0.18753753926476863
710.9743025626782,0.2222493853779117
751.7541096744218,0.22255465731048807
1232.899270077132,0.2164057489741647
9808.830427525822,0.15984280871477086
8750.671071802408,0.15928760115874444
8155.4477330777345,0.16085102030260517
6335.52589087573,0.16676001217848804
4929.158524182932,0.1717579792362767
5359.017022300509,0.173261367851174
5317.499992551397,0.16798143496084128
3244.2734619644975,0.17180444762408384
1665.5935216642824,0.19179285953211977
1837.4054188576363,0.19525657657304638
1935.8808864694422,0.1945859818415607
3572.9540422266473,0.1771739216210426
8102.035895097997,0.15952529661690198
6093.424735916712,0.15533993688627432
8304.37948500384,0.1596414664770812
5419.252832188943,0.16916224892690016
6000.515627838363,0.17303444888152786
5869.064505209622,0.16407022967208112
7034.250839395628,0.16198919641533546
5885.949906943332,0.16419878321927336
4438.456498166567,0.17933608175601867
4438.456498166567,0.17933608175601867
3383.7181173449435,0.17374126322244612
4940.3307585523235,0.17105701759131672
4750.020874208333,0.1620655822112574
5425.3447505020995,0.1756876428238643
4234.572525232672,0.17236908406487686
4234.572525232672,0.17236908406487686
8983.084519384389,0.16297616176933094
7812.931594625699,0.148023951216319
10265.035398912867,0.1556839416217225
10033.457999695527,0.15420828124522565
9150.963904590113,0.15407878231739422
9117.172621212914,0.15649062649881543
11024.823062492313,0.15302222602093987
11515.076095802915,0.1470720865694508
11746.081185882413,0.1479944674933002
12990.538209373866,0.15093688796671878
4210.689848556052,0.1742968258094167
3366.031569109943,0.16313921257292857
5550.118282808927,0.1695712863145098
926.998349830414,0.21869770501890035
1739.3629781157063,0.19473726053848434
1398.3837246227588,0.18330886860596132
3865.0484070058446,0.18274912216686054
17376.00094986976,0.14859547120000208
14594.491922604486,0.14771986595927666
14336.374204613647,0.15125496180678402
1412.7057809980424,0.19818171260827624
1884.9922521995873,0.18939814371643424
2683.863351833642,0.19795395359848011
1086.4294949555153,0.19135065178109062
2400.5377946522426,0.18980456228530337
4423.575451194184,0.16869316498218395
3948.7332605211295,0.17794668070304523
2334.4202341890286,0.18742937443950267
1689.3715635752098,0.19380517526312707
1854.0079007791333,0.19143930708715776
4123.24465543546,0.16834699454229882
2221.391008719587,0.1844091517689982
4503.620738050047,0.16591707579104403
1765.3831795147455,0.1933947094853188
3245.2400422477385,0.1777534446761726
9165.953854953614,0.15509722485722774
6890.112304644488,0.1524223640645592
7772.9955795209025,0.15530412156699439
1683.6069888029785,0.19839878823786547
7960.677979336922,0.1598236361240625
2057.3972699210694,0.19658535619047232
4845.963480142069,0.16924881591130522
2067.0102207972172,0.19887107692415756
3326.135620557051,0.17979097148137252
3695.3270732842307,0.17394851258284805
3219.770159086331,0.18589178510039586
