,rank,elpd_loo,p_loo,elpd_diff,weight,se,dse,warning,scale
modelEElev,0,-165.57135190973435,52.303795207149165,0.0,0.7972691539785655,223.5701775334474,0.0,True,log
modelE,1,-196.9543178696859,47.44600311280385,31.38296595995149,0.20273084602143454,228.19874663917798,15.088291421466943,True,log
