,rank,elpd_loo,p_loo,elpd_diff,weight,se,dse,warning,scale
modelEElev,0,-746.097984705795,110.00351970099041,0.0,0.6985974547347918,300.3478823705198,0.0,True,log
modelE,1,-761.7109105286039,101.42929590262304,15.612925822808878,0.30140254526520815,309.2777240419704,25.8209831312443,True,log
