LE,gammaE
39224.50104234752,0.31118454104501847
38955.287574817026,0.31109244642367717
31276.27501877039,0.30903740797481033
18519.26616835405,0.3291064571707317
10057.850387395918,0.3527008853223037
9323.622438406057,0.35521711465542566
15012.185793612232,0.3448649524840372
14745.71281762575,0.3394760427730951
14319.000877322642,0.3451103976736791
16070.820498542842,0.3385955008931825
17985.132590826903,0.34328408210653866
15801.385826797214,0.3349826809628528
36940.41261302916,0.3069738684383522
36920.630451416,0.30655512203394825
36821.84936988143,0.30699814066504055
42684.303015805635,0.29610679374891496
41587.28516775171,0.29574602863891325
48123.60965330688,0.3075208212617985
37731.11298279974,0.30168361674569866
37731.11298279974,0.30168361674569866
36389.22864602194,0.3009748804362897
13043.442795015586,0.348863580098616
8151.189747313872,0.36548289480941143
8871.747040803295,0.3646998622121579
5971.846342750281,0.3822497248169827
5827.328421986252,0.3802713782172277
5152.879298767297,0.3897979931617861
4626.039324578214,0.3933085709352046
6969.904647254919,0.3743452017359013
7802.326016990104,0.36941620208612896
9343.203718688394,0.35351865058042903
8609.97701066082,0.35287243089088993
8609.97701066082,0.35287243089088993
10344.076226124094,0.3565845630632246
26297.325445448943,0.3193830803106159
23583.687168538425,0.31937032431924434
41228.8201665708,0.29873196753845405
51527.37486652917,0.29811599038464853
55635.33203039902,0.30339703019941877
30945.19055256163,0.32191990213695865
28849.377720757115,0.3150607800065478
7140.267077403801,0.3710406067709594
7038.997727200189,0.3751737351292152
33519.65239066417,0.3192797737061369
29984.292720226596,0.31498089660613005
3572.8744832359484,0.40495973702997995
4678.612273809945,0.39589094034761135
4829.086427657309,0.3948962780468028
7801.392408754148,0.36470786771649316
7465.82153009263,0.3577037003540836
17670.32586288571,0.33211670182126246
16747.457419356506,0.3365134462384527
48500.58928282415,0.3011257308198366
22272.602845941743,0.32865037284381293
21410.40635932648,0.3193584118267529
21745.098270956158,0.32373907808160496
19884.720746397557,0.3349248439371314
17400.844342268923,0.33076031546515205
19587.457577357047,0.3338710704337012
7748.61818258016,0.36345936031295445
3846.0319507361573,0.39936067270196096
5365.332153497749,0.38664987296019737
5052.363312369494,0.3932560228421093
5941.599099666686,0.384136155044022
5749.378007298078,0.37798710035004207
7383.7229308547,0.37617593123168774
7208.395796493594,0.37741779823681426
7027.998660970314,0.37645512468800796
13670.584800141327,0.34515878265416816
15477.24417517913,0.34220899842321456
15477.24417517913,0.34220899842321456
9313.785914157492,0.3582296897545497
4763.955279216029,0.38494160733915705
4430.008587661012,0.38984944823147655
4388.766556637133,0.4073235780707379
6353.867384036104,0.38874163975074055
5601.733104514826,0.38633304315553024
5595.675768017721,0.3794807436162753
6736.127202747701,0.3710741392710289
6976.566540849318,0.3775038343826166
6283.400159493738,0.38273456538152206
6859.47630880912,0.37396552039272335
7105.637877556866,0.37345440626997184
6040.497717663213,0.375347551176472
6955.337103309879,0.38357814518256506
6212.52548621894,0.37471506677129557
6212.52548621894,0.37471506677129557
5987.94080546067,0.3681826024415468
6374.451597546616,0.37143598986196036
6374.451597546616,0.37143598986196036
5426.096112610307,0.38210788684887853
5174.849124436572,0.3948795383813676
5045.814974613855,0.38711130342191785
5157.577544047807,0.38763112772162434
5640.911386933856,0.38759359197514703
4826.175790208983,0.3889209769542215
6678.536610091243,0.37983774402613657
4979.2168732271675,0.391100716816933
12837.292199729553,0.34678033264029445
14403.791349393621,0.34822781777350886
13975.083510716173,0.3458649437747712
15344.91588613109,0.3389021260410745
14770.167477765222,0.3399452331005497
14069.41282649099,0.34365517736856555
16003.242413101681,0.34385965743976815
15375.203412954646,0.34258477571997153
15304.587267186744,0.3403011247252448
7288.472217854736,0.37164208891368694
6216.940028207574,0.37373950656569616
5395.485345045518,0.38230725690022
6727.0264249622105,0.3705715337108891
6645.7924810643735,0.37576693082131124
7626.597198048349,0.37175689103812265
4473.8571259526,0.39794668335723204
4351.856731664665,0.39767561951270186
5320.238493736402,0.3892275236767301
4640.702027072715,0.38739499935449423
5463.315259027332,0.3900140129642165
5480.284596083325,0.3897985375456149
4158.079340516329,0.3966862839417435
4211.0617554738365,0.40067052930428004
9132.30614670016,0.3601031787384952
7091.675272114846,0.3717512173872784
11137.651729509054,0.35405880139619184
10723.614106663868,0.35479060822422936
11106.710653398317,0.35619299841851343
6943.255579361243,0.3702484749220912
8859.810322658754,0.3593210308516797
12457.290695473535,0.3541404250503945
