z_20240301,z_20240302,z_20240303,z_20240304,z_20240305,z_20240306,z_20240308,z_20240309,z_20240310,z_20240311,z_20240312,z_20240313,z_20240314,z_20240315,z_20240316,z_20240317,z_20240318,z_20240319,z_20240320,z_20240321,z_20240322,z_20240323,z_20240324,z_20240325,z_20240326,z_20240327,z_20240328,z_20240329,z_20240330,z_20240331,z_20250301,z_20250302,z_20250303,z_20250304,z_20250305,z_20250306,z_20250307,z_20250308,z_20250309,z_20250310,z_20250311,z_20250312,z_20250313,z_20250314,z_20250315,z_20250316,z_20250317,z_20250318,z_20250319,z_20250320,z_20250321,z_20250322,z_20250323,z_20250324,z_20250325,z_20250326,z_20250327,z_20250328,z_20250329,z_20250330,z_20250331
5.690393271269279,10.37231690525706,-13.843881609135114,-6.563452673228699,-205.9160596320313,-7.6640009947289585,7.333727975607406,9.935711560280458,9.560100985841135,9.787874675179129,7.807762979584985,2.7779624725491887,-6.024432183065553,9.356954123192454,9.63350729979151,-25.05739195358014,0.6348562236698605,2.133707873314574,10.115312360036079,10.199079102102115,4.927469002918977,-34.26210876353735,2.170870626417388,9.724659215159368,10.068428016218807,9.44485293218291,-4.473951409846359,4.4363386234833415,9.179813858464945,5.163701855619795,-11.680147579816115,1.6785361198719464,4.936187404123659,8.42706924568163,10.396398850562845,10.695453393078985,10.624158350979458,6.45853365737238,3.4767243561126016,6.905785805227724,0.7957206256084302,6.513042951403286,6.851848869737292,4.453615844474123,-9.189781241459698,-2.3884895289899273,7.988494604755016,10.696466944316137,10.413149024706268,10.695453393078985,10.429607006229945,8.428671122743793,3.0051311860011847,-24.852723867614017,-0.341037442195244,-6.965202187477303,-25.77172612424888,-21.121529750531046,0.6524788107748716,-14.149452487544295,-55.85418715731089
5.6675530573243655,10.3352723564577,-13.808994003388179,-6.550598370220136,-205.34008076262145,-7.647050121119015,7.305944080952872,9.900060405023487,9.525443214612515,9.752657216202842,7.778494592800822,2.76372782591101,-6.012426279208196,9.323046747147298,9.598564285696604,-24.988395757380427,0.6270119344616294,2.121459974450799,10.0791295774472,10.162637299529605,4.906497892024291,-34.167205509983205,2.158381143507853,9.689639979458905,10.03238257392892,9.41066322414652,-4.466741064403184,4.416901255502963,9.146431173921593,5.142314305839086,-11.652895106653453,1.6672879975679216,4.915353222912471,8.395963965332776,10.359406748056648,10.657553142536186,10.586485523406177,6.433082206006806,3.4602420871311335,6.879011161593462,0.7867296992311008,6.48754185185216,6.825478305256347,4.4345604137109556,-9.170094804503812,-2.3875755214469816,7.9586660508119085,10.658561953541994,10.376092873825318,10.657553142536186,10.392502471524669,8.397416851989261,2.989633845109168,-24.787000994005886,-0.3458148174258273,-6.95066821284523,-25.702742053182178,-21.066405275554466,0.6446127420019252,-14.114109527843983,-55.69648688041333
4.987883015952511,9.262244904810508,-12.890336750926622,-6.239468838938745,-189.34417115727817,-7.2279820283067835,6.489882529046742,8.867322061421653,8.522032487918935,8.731936803937451,6.921843332896074,2.322302893217323,-5.729701879699805,8.338398298779254,8.58721818018926,-23.133019705481935,0.3614370975656982,1.733840200375461,9.03173591475852,9.108101641628416,4.281151796105903,-31.58977474624043,1.7658769108019143,8.674354076495842,8.988780017725812,8.418274946473788,-4.315464963421045,3.833072885126799,8.176308100441803,4.503486553858173,-10.941704179008482,1.3082267304116524,4.290926847787256,7.48668853351357,9.287699520779729,9.560806290570607,9.49609528164794,5.681405040536888,2.955660921144183,6.090894224989109,0.4917684382427918,5.7334505819293256,6.046695625159936,3.8569064097829884,-8.66662379383816,-2.41129159290508,7.084837975886587,9.561682941853611,9.302662234586549,9.560806290570607,9.31773807854854,7.485015654760915,2.5158742364525803,-23.00995016613288,-0.5286616167296927,-6.597798148093194,-23.83843825888642,-19.584790011784214,0.37716542800856523,-13.18370323289901,-51.37923660786155
5.0201767897178495,9.39812548007358,-13.140364996577304,-6.2826463724755754,-189.11733855718694,-7.436489601392207,6.555050016625277,8.995576874203438,8.645494986670526,8.858641559811037,7.007065455651732,2.3191633408984513,-5.903450855596509,8.454539012439387,8.709442896667484,-23.728997688424325,0.3037237697671866,1.6905578387665088,9.163902598481592,9.242149995138911,4.375618519921244,-32.110247997753355,1.7717098658544996,8.798783322542247,9.120063001749976,8.537566658022628,-4.433534971873753,3.895674289041767,8.29008628004697,4.546591905520451,-10.95715500480588,1.3334596931286704,4.35621838882536,7.580767471528947,9.420653917065039,9.700337614601402,9.636325474788288,5.780971322764201,2.9856355886583223,6.200765826752972,0.5506433688856678,5.805406437140267,6.105537967700189,3.847926475888322,-8.603268952871954,-2.472908477160166,7.176474775417642,9.701214365713334,9.437260653506705,9.700337614601402,9.452733478070996,7.606758587058561,2.6376411312058607,-23.15942216788975,-0.6099128188994509,-6.728723238338471,-24.08329555891767,-19.74581636967999,0.33367939036445016,-13.360269085038485,-52.07224684065985
4.8624552674812085,9.257335150041026,-13.199968201211146,-6.262652931036838,-184.81411251599457,-7.58396396394274,6.3998772819842635,8.857165042019558,8.509688153435086,8.721548693677597,6.865271805474775,2.1846450982915044,-6.04682827454562,8.314610696058882,8.569978451316196,-23.954774353317323,0.1515486264496122,1.5214564254094345,9.026159066472584,9.10473817355954,4.304676873283185,-32.05618870514168,1.6590351273129356,8.660326889791543,8.982305346242736,8.399435308400683,-4.547276952273441,3.7986927611392636,8.151341328863742,4.41212831246021,-10.813409565818453,1.252764934675218,4.252202673042009,7.434211752470953,9.2767882499048,9.55755422224226,9.496033770823002,5.682176915191901,2.8710059837811013,6.1044021233928385,0.52245295187587,5.674928028628711,5.952798069056536,3.6685291183630397,-8.418731421881905,-2.5679310478490276,7.037119419376176,9.558396571390047,9.294883439999758,9.55755422224226,9.310524954216126,7.4921440164717055,2.6389824991623243,-22.88835846130992,-0.7705757171723473,-6.805943628400325,-23.890528504509895,-19.570837608226366,0.19429972983890487,-13.338008631825101,-51.77486510567011
4.802262363877172,9.174945532879418,-13.153423122443709,-6.245016800351625,-183.43062587032028,-7.576695399764919,6.3317039198183505,8.777599416285172,8.432250673379935,8.642836541065833,6.79602216294538,2.1412468573153234,-6.047433603123064,8.237798528425015,8.49164701966936,-23.86879791081228,0.11699186103976977,1.4777543284542718,8.94577539486637,9.023957309993664,4.256429332819544,-31.898693443657592,1.6206999940550428,8.58179925206609,8.902149363404765,8.32233948280351,-4.552879148411469,3.75036082560272,8.07552465615922,4.35672093290062,-10.760137051350082,1.2195615453314872,4.200646553577479,7.361143866942138,9.194188363731069,9.473551410983399,9.412667310364984,5.623382679946284,2.825564692507064,6.043641995433054,0.49815107865462593,5.612884009783115,5.887024490122608,3.6122091342243614,-8.3737117780307,-2.582384178812802,6.966950827045039,9.47438224461279,9.212329392875843,9.473551410983399,9.22791162467622,7.422105639145806,2.607024418815749,-22.757838299736406,-0.8012434956687837,-6.7959244911240795,-23.762078800249142,-19.46798692439259,0.16062958974239017,-13.283150215918493,-51.48880667827785
5.470479855465354,10.183362318550673,-13.9320001699719,-6.5199379426019775,-199.19114004352915,-7.880193257645569,7.119109861481612,9.749104627150173,9.376959096227766,9.603261906435675,7.613791246391486,2.590409231270283,-6.232203618955364,9.167516639057494,9.445292797616476,-25.40541144686969,0.41828449139088697,1.8933397340548108,9.929902098526929,10.014240174883872,4.842478474984908,-34.18172463981032,2.0182181546620725,9.537988778515968,9.882950820916967,9.258197373308823,-4.633697672134257,4.310205267427339,8.992040603616296,4.979818025030833,-11.434429485720237,1.57524282072899,4.799155327064343,8.227446862165555,10.202449696425862,10.503425974161752,10.435919527433411,6.332108982607979,3.322936177192479,6.78357318280826,0.7771814815077214,6.336179537179126,6.6407979179959415,4.199468197071699,-8.881706902063964,-2.516198486729376,7.799129044563792,10.504387920050103,10.221519021548668,10.503425974161752,10.238189127767434,8.278478348799746,3.0312912906295804,-24.421430997527587,-0.5688813701890876,-7.068257883550707,-25.472129136375514,-20.833230989853647,0.4590081801680057,-14.103419474589877,-55.398881151421264
5.086850252535091,9.548269000728258,-13.3379502616814,-6.327454109617284,-190.24106902291769,-7.576670070350573,6.649087232730041,9.138738239877043,8.784000766679869,9.000091037334707,7.1148131980431195,2.3502243049610296,-6.015479826290802,8.587773746761009,8.847939480102816,-24.179929262675596,0.29310174508280795,1.696005583363454,9.310180565048356,9.38994759562877,4.470695236376983,-32.57471547371725,1.8033001347388833,8.938593373213696,9.265605366398551,8.673084480338105,-4.506979194768528,3.971096977986023,8.421057046468793,4.615834948465053,-11.02163429937439,1.3730799304634562,4.4364206494398335,7.696826716939339,9.569130984330233,9.8541112835127,9.789984745447002,5.888137772476031,3.038176854001101,6.316042158945143,0.6018964427279894,5.898725444796084,6.1936726977158365,3.8855203708487602,-8.610004628701326,-2.5040258158204836,7.288858373205928,9.854998251871757,9.586732700447632,9.8541112835127,9.602528255197115,7.737657104181702,2.736078658611536,-23.372195219132855,-0.6397145302104814,-6.824186275310922,-24.348939901515806,-19.944296339726588,0.3297098375788554,-13.522303049706284,-52.76061243033055
5.360413010861849,10.007740989206306,-13.774816199600217,-6.463723150005158,-196.49368008396726,-7.8066083567167475,6.9862360145261615,9.580095046818103,9.212633893650631,9.436263301297387,7.4741865302328305,2.520219980429119,-6.181424163028588,9.006546771190534,9.279537481856691,-25.092289362912506,0.37742124933903654,1.8320323376917038,9.75845046642231,9.841596202268107,4.741867421326923,-33.74656770421346,1.9563293612960262,9.371895034503499,9.712130838503045,9.095930530004527,-4.6047274217323135,4.21640296540643,8.83348964908284,4.87666975042306,-11.310525339432338,1.5192227749076253,4.698700475822548,8.079211184199025,10.027075551717665,10.323873013918098,10.257446329276398,6.210405071311347,3.242460270291434,6.655775528156894,0.7321096113657131,6.213917457269102,6.514339853459394,4.106517227582756,-8.792372369455073,-2.5162185365139518,7.6568374266991786,10.324812548363324,10.045862669485821,10.323873013918098,10.06231242865005,8.129850616741946,2.9564592078048033,-24.11885924367747,-0.5957695623060992,-7.005265279211848,-25.155494733146988,-20.58034047049217,0.41810050194267845,-13.943485329304469,-54.67150537301095
5.259485587236294,9.816080937721344,-13.557015851806721,-6.401566239887128,-194.27606902428425,-7.671385778478964,6.854813543389023,9.396551515233968,9.034581230733002,9.254941917138002,7.329959188839386,2.4642235952436815,-6.077159638580158,8.83393957090054,9.100675658596728,-24.621177204000045,0.3649498494572896,1.7980509508891567,9.571527317391187,9.653019377167464,4.627161571944908,-33.20087611551405,1.9046155042878832,9.192165850676671,9.526033612387021,8.92108472981273,-4.537763723602449,4.118385811955051,8.66366907239343,4.777758252535447,-11.197363936833,1.465302777023096,4.593915037363147,7.924986556613655,9.83668166773269,10.127709583501973,10.061944523300943,6.076378097836414,3.1669050693346854,6.513071792236373,0.6767126342027119,6.088665473207001,6.39033798475113,4.03419820503547,-8.736579610090917,-2.492845494970396,7.508175946539859,10.128630116114683,9.854652542484235,10.127709583501973,9.870764813131224,7.965498741922005,2.853367817525874,-23.81127130343303,-0.5876398129495417,-6.905144550705987,-24.806263338043664,-20.30845644997201,0.40158421269105915,-13.747002365528843,-53.81820295685914
