,rank,elpd_loo,p_loo,elpd_diff,weight,se,dse,warning,scale
modelEElev,0,-1417.6128146586384,57.92500174265297,0.0,0.5586721175484676,240.69410185952654,0.0,True,log
modelE,1,-1421.2829337068704,63.129529818975016,3.670119048232234,0.4413278824515324,244.8041523061213,5.570533633854435,True,log
