station_id,xi,sigma
Annandale (WTP),0.18789264816420861,18.929487792695376
Annandale (WTP),0.10246017669576489,20.173765469710133
Annandale (WTP),0.036615147251402705,23.65261088756411
Annandale (WTP),0.10148322415909128,21.518329534844142
Annandale (WTP),0.07895587364087468,24.371471412128948
Annandale (WTP),0.11760522516656258,21.38218493865672
Annandale (WTP),0.07228552448356386,22.691982856218683
Annandale (WTP),0.02711259054099679,23.616107817895468
Annandale (WTP),0.11511314572341394,21.09363548694936
Annandale (WTP),0.012697263961836833,22.565385988029767
Annandale (WTP),0.13978444646602312,21.313453681530376
Annandale (WTP),0.17344554233083498,20.20705661299914
Annandale (WTP),0.11695634358713167,21.285381880621923
Annandale (WTP),0.08948755418166321,20.77340405369906
Annandale (WTP),-0.0023126330975097543,23.180755365173926
Annandale (WTP),0.13453285183493469,19.598993251839694
Annandale (WTP),0.23395691317684286,18.256845264640187
Annandale (WTP),0.1591603173594931,20.75817096109965
Annandale (WTP),-0.07025428682788643,25.24887471903503
Annandale (WTP),0.06580753525595967,23.575909647781508
Annandale (WTP),0.07353176196137273,20.330892006897948
Annandale (WTP),-0.0583734617269239,22.090184738129373
Annandale (WTP),0.0759058258972932,23.27217512103357
Annandale (WTP),0.21523662267109517,19.374387986204134
Annandale (WTP),0.0801274986330999,21.926250320351834
Annandale (WTP),0.05031844615255626,20.637840199101127
Annandale (WTP),0.1967674552406315,21.06203464529385
Annandale (WTP),0.03545014749433799,23.75477192761585
Annandale (WTP),0.0731804006291363,23.77644209890211
Annandale (WTP),0.2127043762075466,19.943200407416125
Annandale (WTP),0.11705540883300428,20.93172440693761
Annandale (WTP),0.0606114680774002,24.178472514963378
Annandale (WTP),0.09833085089007937,22.655288013160007
Annandale (WTP),0.05989433099599348,21.356102357301403
Annandale (WTP),0.1392659120633936,21.922538694031466
Annandale (WTP),0.10530474736902574,19.153583789412238
Annandale (WTP),0.06842494155400158,23.16672900769582
Annandale (WTP),0.04823088924634927,20.591061859906112
Annandale (WTP),0.04141274515219766,24.425388300294127
Annandale (WTP),0.15296291527156436,19.897845609596505
Annandale (WTP),-0.06571988168779336,25.592065254467983
Annandale (WTP),0.1403686922435119,19.881556510063724
Annandale (WTP),0.06572507650489265,23.98401395090113
Annandale (WTP),0.13365387284571245,20.69777033069138
Annandale (WTP),0.1269253965405281,19.600979734093194
Annandale (WTP),0.15444460442320684,19.892482278968536
Annandale (WTP),0.16031350613905831,21.696278529537594
Annandale (WTP),0.08255838621227823,21.148626198387227
Annandale (WTP),0.01735279025597229,24.329811672563878
Annandale (WTP),0.27724552215038706,17.14519489370484
Annandale (WTP),0.12863709372675666,20.180500249991375
Annandale (WTP),0.16382866197827256,20.065238782489732
Annandale (WTP),0.18269590034033822,20.550392799258848
Annandale (WTP),0.1345266886414223,22.030998379533848
Annandale (WTP),0.02485269494602728,22.071419827985586
Annandale (WTP),0.14722632121305804,21.018437897239806
Annandale (WTP),0.17930345448233928,19.897309700819584
Annandale (WTP),0.10689419712592849,22.328560502895925
Annandale (WTP),-0.041350562378278666,25.871919287915606
Annandale (WTP),0.14544193167386862,19.208458303352668
Annandale (WTP),0.11499142704420284,22.15103959916859
Annandale (WTP),0.0961926353955578,21.645133874733897
