station_id,xi,sigma,mu
Annandale (WTP),-6.023866613591046,2.0524337429235953,65.01121076622627
Annandale (WTP),-5.653198191862705,1.2542227723492396,75.22185351647681
Annandale (WTP),-5.7860559668568605,2.566497012831676,65.11405529341798
Annandale (WTP),1.1091116541031174,29.095471053571032,107.5668692363538
Annandale (WTP),-6.087360092655933,2.890044452560238,87.17475786226012
Annandale (WTP),-6.029221547204482,1.9123049098954068,75.3171699523877
Annandale (WTP),-5.907279415562062,2.3319610067826666,65.06525351673304
Annandale (WTP),-6.721112502884566,5.986276321246821,65.56116352132227
Annandale (WTP),-5.938338937751556,5.14570827752566,65.53701145673054
Annandale (WTP),0.30038348244901525,21.822107104911638,98.86396155691614
Annandale (WTP),-0.13121225085341703,23.698861105544818,93.56337840884845
Annandale (WTP),1.1634011602687728,23.26643495550171,124.40136517817585
Annandale (WTP),-6.187897294807975,5.289129597000294,75.85474870052195
Annandale (WTP),-7.654077601726206,2.1254504037030477,75.27768861672104
Annandale (WTP),-6.5413962726359145,5.724211831370432,65.5455700537363
Annandale (WTP),-4.863401060723183,0.26615535225826015,75.05471407616372
Annandale (WTP),-5.8706979769864684,2.1030523457149686,65.0287207025319
Annandale (WTP),-5.586030744855613,2.3501394787601146,65.0912021987321
Annandale (WTP),-5.386399488080315,1.230533495815843,86.92844227702068
Annandale (WTP),-5.70915540363136,2.3728864873998905,65.08611637182014
Annandale (WTP),-0.20661628382380756,23.32130225624025,91.25815251085817
Annandale (WTP),0.1480513185361298,41.18570125594377,80.9341811490388
Annandale (WTP),-5.907493518396787,3.426368390659733,65.25049339317826
Annandale (WTP),-5.8299154594031855,2.581442638761011,65.11328239700654
Annandale (WTP),-5.551549701250046,2.2489675406945446,65.07559118096273
Annandale (WTP),-4.183094350456028,1.244080634403607e-09,64.67049701029683
Annandale (WTP),-5.692904668009026,1.468302794704225,86.95791159440662
Annandale (WTP),-6.049104361350782,4.82045681740604,75.79688193669455
Annandale (WTP),-6.571054306024529,6.012083558774378,65.58542970469051
Annandale (WTP),-4.9596977112817076,0.36502739896073755,64.74408440181094
Annandale (WTP),-5.905265183903056,2.1583783352655406,75.36549587721586
Annandale (WTP),-4.924575082976466,0.14819413022784222,64.70058552153046
Annandale (WTP),1.242585534844163,90.42618927234835,177.4273926127033
Annandale (WTP),-5.218397954221711,0.6411094360840384,75.1228470813262
Annandale (WTP),-4.689273581842588,0.125381996228504,64.6972280394393
Annandale (WTP),0.601779224223381,30.391002323925612,98.31808469536668
Annandale (WTP),-5.59731877917142,2.4640742893386056,65.11070992916063
Annandale (WTP),-5.620203404136873,2.359816071127197,65.0903669374822
Annandale (WTP),-5.975246519174387,1.6640330023289343,75.27848563155044
Annandale (WTP),-9.615143525465967,6.579193327501542,65.35475027236399
Annandale (WTP),-5.715720320948435,2.386313915762969,65.08798995177006
Annandale (WTP),-5.914285030854053,5.025062450008949,65.52013638050778
Annandale (WTP),-5.9192692973488565,2.171873399482573,65.03740833023318
Annandale (WTP),1.1948714788282784,40.32163926565265,110.65441314810437
Annandale (WTP),-5.798664607583319,1.9757911985591896,87.04072606879612
Annandale (WTP),-5.400216884244049,1.234458476439996,86.92858441760788
Annandale (WTP),-5.708097200486916,2.533509738149945,65.11433345669118
Annandale (WTP),-5.925778782840627,2.3340026539378265,65.0643642069158
Annandale (WTP),-6.090194269096559,22.490287381682236,68.36334063069327
Annandale (WTP),-6.025530532141138,2.049974136699163,65.01070786862013
Annandale (WTP),-6.0107519600427715,2.2596332946121738,65.04642490234914
Annandale (WTP),-5.596995936136615,1.5661944499004696,86.97981969319366
Annandale (WTP),-7.223810210217533,12.05369747217891,66.33910320059977
Annandale (WTP),-9.957335675717307,8.49134394731173,75.85277269174969
Annandale (WTP),-8.025127664223938,7.809319804161138,65.64360546281696
Annandale (WTP),-5.907279415562062,2.3319610067826666,65.06525351673304
Annandale (WTP),-5.937751230722432,2.492206770778389,75.41971668788517
Annandale (WTP),-9.184840420774627,13.222595488032312,66.11010781182023
Annandale (WTP),-6.776680574729234,2.2563952942156273,87.0329643196975
Annandale (WTP),-6.076488732198117,4.834005827481066,75.79551940317477
Annandale (WTP),-6.2665179039260686,2.838415330624599,87.15294767507072
Annandale (WTP),-5.768116896255762,2.093519310908224,75.36294048085378
Annandale (WTP),-5.7187189439961,2.2965426963794675,65.07207183215283
Annandale (WTP),-9.122562550231478,8.687026086018658,75.95225722259914
Annandale (WTP),-5.721755486532928,1.8370882749083295,87.02106540961302
Annandale (WTP),-6.487915314046624,0.5087285497239202,75.07841143631401
Annandale (WTP),-6.09645832834946,3.115883969634324,87.21109369674798
Annandale (WTP),-6.199550640711934,2.64464771302055,65.0970813443692
Annandale (WTP),-5.727415057132928,2.3894617157586335,65.08768595105053
Annandale (WTP),-5.836226325426942,3.338452284234803,65.2425120432074
Annandale (WTP),-6.6096302276152485,3.9822903634966007,65.27299451919004
Annandale (WTP),-4.9007523181732395,0.16760554323535282,64.70468912866664
Annandale (WTP),-8.939896049677849,6.140346063187813,65.35734460015945
Annandale (WTP),1.1854850104401513,30.703506849911598,107.90046809574432
Annandale (WTP),-5.9266793043180925,5.032718114965833,65.51965087533097
Annandale (WTP),-5.139735734477208,7.736550058539626,95.70510560947454
Annandale (WTP),-5.466842981578456,1.7369176334549241,64.98820260332135
Annandale (WTP),0.45975213909143353,23.94949625659185,104.41073592777124
Annandale (WTP),-6.05350606460971,5.133578683406736,65.518523888261
Annandale (WTP),-5.613300397965784,2.2726637112244283,65.07535834679672
Annandale (WTP),-7.2825698651551285,9.82255501350534,76.34877558627593
Annandale (WTP),-6.0870465644454725,2.0835807023270565,65.01279253458392
Annandale (WTP),-7.130039802014927,2.941745641165058,65.08308160407245
Annandale (WTP),-7.005344784254397,3.180499990988917,65.12450730631997
Annandale (WTP),-6.025530532141138,2.049974136699163,65.01070786862013
Annandale (WTP),-6.54506963149773,11.67484823506667,66.4542560123173
Annandale (WTP),-5.666240741796297,2.379719801564585,65.09046970330883
Annandale (WTP),0.2590653278027295,18.401189750981338,88.26095076304351
Annandale (WTP),1.3174542875812927,88.6659395992369,182.89903902167396
Annandale (WTP),-10.614201402081278,2.3569567808536647,64.89255392144815
Annandale (WTP),-0.21664987276700423,23.31595324482167,91.74633872748387
Annandale (WTP),-5.5884745935260085,1.8689157619301024,65.00491221461021
Annandale (WTP),-5.489912992231286,1.805199165611099,64.99930419069952
Annandale (WTP),1.0406752745275871,30.99999976513943,114.61164956646844
Annandale (WTP),-7.660134404596086,2.4940318388769844,75.32558588985398
Annandale (WTP),-5.925778782840627,2.3340026539378265,65.0643642069158
Annandale (WTP),-5.983863805325491,5.069870045613133,65.517746272354
Annandale (WTP),1.2006478735696393,37.18102574374118,113.43253105075806
Annandale (WTP),-6.153123476226423,2.1846748848295547,65.02554598780995
Annandale (WTP),-5.431291778920528,1.5023591395571412,86.97660059869827
Annandale (WTP),-6.427168807314757,5.256519332306194,75.81785723262372
Annandale (WTP),-8.011622154081431,6.253376545480618,65.45103511601107
Annandale (WTP),-5.82078564440507,2.263861969963389,65.05941738944824
Annandale (WTP),-6.392871411480943,3.1836587183090117,65.16849687084209
Annandale (WTP),-5.992074761592541,2.108550729315379,65.022383985604
Annandale (WTP),-7.879185168295109,6.587162886320675,65.5065177961262
Annandale (WTP),-5.972994382608523,2.969190895018663,65.16759454237052
Annandale (WTP),-5.5409005891901195,4.330935077615063,87.48160628469168
Annandale (WTP),-6.054473910701466,2.6417725609154754,87.13632985369517
Annandale (WTP),-6.039364452389922,2.2565519978595114,65.04413408679636
Annandale (WTP),-6.716371779329409,20.103311561393525,97.19317753675168
Annandale (WTP),-5.808730001369536,1.6304179727625305,86.98068032202053
Annandale (WTP),-5.734071457999132,2.0523969867069773,65.02841931680553
Annandale (WTP),-5.909028119687104,1.9047015876207718,87.02233375854001
Annandale (WTP),-5.751732522355557,1.967482195672888,65.0125564732175
Annandale (WTP),-5.363047771175879,0.5161958983145107,64.76674228022094
Annandale (WTP),-6.010564529299707,5.094533477413538,65.51808577435378
Annandale (WTP),-8.237026793423261,5.533823649220675,75.67182294110538
Annandale (WTP),-5.716991461370213,2.377514382961305,65.08635659908737
Annandale (WTP),0.4337371672111763,21.59787903402095,103.72651709231457
Annandale (WTP),-6.505358823753774,5.781835003620095,65.55927528187118
Annandale (WTP),-5.889514526406003,1.970752298671231,65.00511229781472
Annandale (WTP),-5.930626429129276,1.9607991843222883,65.0011162356659
Annandale (WTP),-5.18545816768899,1.2912699290416412,64.9194884041828
Annandale (WTP),-5.555649019714885,1.217962563766,75.21922379785133
Annandale (WTP),-6.014645396320065,3.2899476307176005,65.2174819440936
Annandale (WTP),-5.870027073234068,2.119068928872137,75.36099343724507
Annandale (WTP),-6.1329254936879245,2.854261868335895,87.1653968413803
Annandale (WTP),-8.461679991176457,5.168243669097288,87.31078220921808
Annandale (WTP),-5.606110783666971,2.255799164182859,65.07286711617749
Annandale (WTP),-5.835965457775821,2.293202214063112,65.06343614647312
Annandale (WTP),-6.23298425576016,5.5170045628441615,65.55562372685128
Annandale (WTP),-5.806380101575563,4.873852170327542,65.50988014773822
Annandale (WTP),-10.002133248522856,9.524966989702442,75.95229355104487
Annandale (WTP),-0.44991510910022336,23.793566651689503,77.80930759754114
Annandale (WTP),-6.5413962726359145,5.724211831370432,65.5455700537363
Annandale (WTP),-5.82078564440507,2.263861969963389,65.05941738944824
Annandale (WTP),-0.303003726724095,21.671482158042423,87.75242020531775
Annandale (WTP),-8.07635660351762,1.5456272510739484,64.8618738015767
Annandale (WTP),-4.792359701469952,0.2782900603509574,75.05805481463352
Annandale (WTP),-5.889514526406003,1.970752298671231,65.00511229781472
Annandale (WTP),-6.085352493786724,2.6754780962529203,87.13965450287003
Annandale (WTP),-5.704592752762281,1.478667502620823,75.25920204709178
Annandale (WTP),-6.721112502884566,5.986276321246821,65.56116352132227
Annandale (WTP),-4.948089953337146,0.38107756138715887,64.74750247544893
Annandale (WTP),-6.202718801982574,11.389260372569034,66.5066595897805
Annandale (WTP),-5.624593314112044,2.2605449456455897,65.07239105658488
Annandale (WTP),-5.6216674118243155,1.6429036689550367,86.99223615733138
Annandale (WTP),-8.441591208825525,7.120770689228802,65.51403118298606
Annandale (WTP),-9.583629588217207,7.003450457238824,65.40126924934287
Annandale (WTP),-1.1319406595355173,17.31172781870071,106.21949770579502
Annandale (WTP),-5.624037785660142,1.250387211039493,75.22232435210773
Annandale (WTP),-0.6138645794355722,16.93017306943679,89.21124868548476
Annandale (WTP),1.3490551925800913,28.769575080667067,112.47427868118224
Annandale (WTP),-5.912874239768946,5.02143552505448,65.51972555011594
Annandale (WTP),-9.18017979285538,6.322304438351857,65.359187708445
Annandale (WTP),-9.594673969307376,6.157515671739578,75.64176392969352
Annandale (WTP),-5.666848606823844,1.846461345729737,64.99632580372224
Annandale (WTP),-8.207180055136725,5.560073751192843,75.67746456580917
Annandale (WTP),-6.484604354625599,5.772946213403927,65.56074891057202
Annandale (WTP),-6.201051857781916,2.887615884535391,87.16566296049444
Annandale (WTP),-6.078556267437062,5.170569657859087,65.52111577718773
Annandale (WTP),-6.467423863632888,5.695008408284451,65.55106317604259
Annandale (WTP),-12.134183925614352,10.467364239097826,65.53313139095752
Annandale (WTP),-5.800878937298982,1.9630929831466588,65.00890350353114
Annandale (WTP),-5.489912992231286,1.805199165611099,64.99930419069952
Annandale (WTP),-5.653198191862705,1.2542227723492396,75.22185351647681
Annandale (WTP),-7.948440131553493,0.3587138002600836,64.71562709648515
Annandale (WTP),-5.907279415562062,2.3319610067826666,65.06525351673304
Annandale (WTP),-7.624403041736294,7.0762987942709135,65.59860879766532
Annandale (WTP),-6.721112502884566,5.986276321246821,65.56116352132227
Annandale (WTP),-7.277172624187479,6.343291049884208,65.54216648806442
Annandale (WTP),-1.001470305210102,14.80339291872209,104.62981017783677
Annandale (WTP),-5.849693533579305,2.134165718654183,65.035324259542
Annandale (WTP),-5.625702130977409,2.262353658868669,65.07263346989163
Annandale (WTP),-6.40307325462711,5.693195287861862,65.55962870234308
