,station,dist,TR_2_mean,TR_2_std,TR_5_mean,TR_5_std,TR_10_mean,TR_10_std,TR_25_mean,TR_25_std,TR_50_mean,TR_50_std,TR_75_mean,TR_75_std,TR_100_mean,TR_100_std
0,Annandale (WTP),GEV,105.33669760326985,10.21692253050036,146.67037544682793,16.782006430563047,181.1403143893177,26.237889791986913,235.98345588994636,50.21670522878161,287.65187941794505,82.36689412106706,323.27973768638594,109.50526309991518,351.49239419337744,133.7069362609977
1,Annandale (WTP),GPD,140.42435654676723,11.725128654022752,176.2434873615908,19.73569551432074,206.7004424293134,28.14205435135547,252.09479767315435,43.13161846817311,290.8717736096576,58.06899322819918,315.5477312895542,68.52333199442896,334.0238348511388,76.81001888929808
2,Bacolet III,GEV,43.18308193101181,3.6525096533036714,56.81146619257805,7.1746660051280005,66.60287286366938,11.583815607943668,80.32731831544108,20.602004349462295,91.86607270853112,30.809559622090944,99.26666360261676,38.63220061429804,104.87359078291374,45.22499426845801
3,Bacolet III,GPD,48.03875778124886,3.3168074245506425,55.74556365965518,5.5921592879267195,61.640582973046534,7.972344971273344,69.58668779323668,12.110688861906382,75.76421619805726,16.10756911060514,79.46359936623618,18.844910338071983,82.13319341696914,20.9863500001569
4,Blaize (TANK),GEV,64.00287298901031,9.290488825126957,108.85443934697642,19.65784941231258,152.82343077048697,33.96862196638558,234.421730395504,73.04989351893995,323.5323706943148,131.56088421282922,391.42952282917247,185.13984928835072,448.72711346640585,235.53181192306926
5,Blaize (TANK),GPD,152.66227317768414,20.824093835283342,220.08900103312553,42.12323565340676,288.1521410954603,68.97126353751304,409.3133963699975,127.12260533871407,532.8218963228238,197.32327328728616,621.5961673147026,253.44019679796364,693.4644800403863,301.92389415848385
6,Bon Accord (WTP),GEV,58.8091306390267,4.766478166613169,77.77618142761042,8.925382429229524,93.2953731641098,14.368449650304182,117.73141631768918,27.28068064006024,140.6613055010394,44.22189403006216,156.48462966507483,58.52791048718675,169.03968150846853,71.34912871012548
7,Bon Accord (WTP),GPD,77.92417368958287,6.211273092439476,91.89501147287872,9.972971121407104,102.77010276263954,13.684085296495669,117.62061689500615,19.878067103606814,129.26646727467846,25.665035650727276,136.26362090344384,29.54373387023317,141.31767785121937,32.5360031749483
8,Brandon Hall (WTP),GEV,71.86121065975452,11.012663893012352,116.10908856906077,18.527059742513895,152.75716819150833,29.223614076005134,211.15335625627452,58.052470264421025,266.5929119136326,98.46721697825733,305.15167521035977,133.54082007634696,335.8968788117822,165.41095554866348
9,Brandon Hall (WTP),GPD,126.35995362074871,16.848142239087053,178.059062161729,34.36630680186449,229.48550694678445,56.46395989778845,319.7767080037136,104.28778037009,410.6962259001938,161.9961738596069,475.55104609117024,208.1409059915515,527.8178995462289,248.03041694293333
10,Chemin II,GEV,48.882637741031715,5.200932517202391,69.92891994381544,9.989115050950097,87.01749221816078,16.26431250478165,113.81024842015002,31.38606926941938,138.89998995745043,51.38962922815723,156.20710848014883,68.35943207940575,169.9411816319794,83.61411672343391
11,Chemin II,GPD,66.8902906107879,6.441394721226087,84.41346833769781,12.117055097710642,99.48321661398073,18.76679984299926,122.39013089282902,31.84736155340742,142.49462605694634,46.1346766656885,155.58665433241694,56.79088503112753,165.55416165824883,65.59891954208899
12,Clozier (Tank),GEV,57.0212529047443,6.430636491071291,85.47874656411399,12.958555009765128,111.18940200174671,21.836252112212733,155.49150905798774,45.73221920113925,200.76648075323388,82.7304217735687,233.87225095416687,118.68922282858753,261.14320095572555,154.47209635588106
13,Clozier (Tank),GPD,99.80339519554128,11.1976765897982,132.56771662847515,20.970570666555446,163.3677232768903,32.43304858201811,214.30759395986396,55.43156031271441,262.6087799468615,81.19790608623957,295.6479545727118,100.76196987722834,321.5604401887339,117.11108314395906
14,Concord (WTP),GEV,103.80190376010552,7.433310934483753,133.27046601221033,12.877374438674977,157.7210224586431,20.43221649474762,196.5650027895327,38.67355872859817,233.1730735338423,62.263264673237714,258.4366309157827,81.74709945780003,278.4541800094454,98.88425198688908
15,Concord (WTP),GPD,125.29599804127042,11.821732680992097,158.1622410475602,22.075362500231478,186.86300123309468,33.83975638458872,231.01009883859422,56.69131889062842,270.08212529758464,81.45892606429122,295.6209993861871,99.85814809591994,315.09420697373355,115.03137515449282
16,Dougaldston (WTP),GEV,67.7733168503121,5.928194886242394,93.99970995249225,13.094474340558557,120.02354246459394,22.449643276135262,169.00006726736962,47.520034264990535,223.34317245945422,86.21363070110878,265.2727947830114,122.96253871928836,300.975964162368,158.53804272568541
17,Dougaldston (WTP),GPD,89.77712697601298,8.553417515688542,115.23779419491342,15.695442757904218,138.2565447387257,23.98238216036071,174.87429456273992,40.314353601854734,208.32009976987592,58.21740582443332,230.6328933294478,71.58617568858311,247.86026727376506,82.63297972838544
18,Grand Etang (LAKE),GEV,62.324319229759354,7.898514536320036,95.1348428017425,14.31303303568531,122.73553094325318,22.914414977139344,167.20347199551492,44.10677627804252,209.72252617684197,72.10986751381311,239.37012789126862,95.55271663513862,263.0218755366037,116.34075843735246
19,Grand Etang (LAKE),GPD,111.47271494431286,12.495448421096098,143.54763815763135,22.596804699120224,172.25892370937754,33.98277863413611,217.45577941745623,55.93868867504167,258.302198018859,79.67080696819754,285.3523936287496,97.28939455613208,306.1390395850547,111.81669898180876
20,Guapo,GEV,57.44582962295667,7.362533184096284,90.76843391913175,15.824880409412403,123.09997918445625,27.035024671408934,182.67710541067927,57.10471041280803,247.44725158467332,101.88725889611993,296.7109658205244,142.84249193914732,338.25935583918476,181.33796640035055
21,Guapo,GPD,128.12444417779346,17.86987619385765,185.8567970912903,37.45947799949781,245.62937384768404,63.11943790255787,354.9757173270535,121.05717119520023,469.563707704255,194.04835020358354,553.5436416130046,254.26041156242044,622.4005560675531,307.4182764990049
22,Les Avocat (WTP),GEV,90.56080221507642,7.5484588047830785,126.2580489329954,14.229477552179238,157.68347950221457,23.14864251015404,210.08060652979808,45.23185422015636,261.5490159227894,75.24262519280799,297.9883818672173,101.07847494986115,327.3103295013359,124.47831007135801
23,Les Avocat (WTP),GPD,120.35371717624609,9.529959307880569,152.7916068106047,16.389097605499405,180.76380122777132,23.793431773279785,223.05342393680223,37.361744244690804,259.6929499753348,51.24384709462081,283.2356029088669,61.13989214303423,300.97211023627597,69.07949055457047
24,Mamma Cannes (WTP),GEV,100.6576009160237,11.233220404292805,141.386462693123,16.889964000310453,173.99907887678975,25.354347898479556,224.1321983378574,47.24847495237036,269.95046250728234,76.45130594007057,300.9500884818177,100.89096984353763,325.2191128261196,122.5654164531191
25,Mamma Cannes (WTP),GPD,124.60748000953333,13.236504673124518,162.1667117072934,24.08949297339956,195.43321565239816,36.355908904737454,247.24122459760542,59.91257496632445,293.5696643069982,85.15833841664842,324.02976939036085,103.74775680907283,347.3295935254916,118.97975190484642
26,Mardigras (WTP),GEV,82.91024582210378,10.092302983068265,124.21452760303391,17.3551273492871,159.31040421961904,27.344687167036795,216.26745633269223,52.88092310337042,271.0627795948163,88.02710433442837,309.4265088485735,118.32351228348325,340.11578903101986,145.728522253259
27,Mardigras (WTP),GPD,113.94073489933224,12.428586984132545,151.54602445904712,23.410083703547357,186.3846681677453,36.314875126591495,243.17257168373735,62.18125598196613,296.27572979665774,91.10686635500134,332.26592237215095,113.04168503085465,360.33076518703854,131.35912190083002
28,Mirabeau (WTP),GEV,91.42575840131232,7.717003272022766,128.2687243422098,15.659390784380687,163.0426080500892,26.475596145199166,225.21209328724584,55.5208983863727,290.71344026413766,98.59345313449577,339.43526434204557,137.91204314255296,379.9317567892587,174.86436449046693
29,Mirabeau (WTP),GPD,133.8848283027561,11.21136826719881,170.07442985562065,19.264920928870385,200.84662095344677,27.935381016367153,246.73770435684202,43.71563650610231,285.9833626344642,59.71591874595302,310.9853842212236,71.03886311018641,329.72175316911444,80.07643903491389
30,Mt Horne (WTP),GEV,73.16850923374683,11.656514101734055,120.20483745680382,21.26526296178456,163.18395728714628,33.40307872006141,238.1876946359721,66.95080208937877,315.7735497939239,117.43526648278652,372.9059269718035,163.30146058499173,420.1296324803402,206.07724697222665
31,Mt Horne (WTP),GPD,120.93663253721986,14.088092394131976,163.33087814858982,26.94350652672081,202.92732169198942,42.30491568007074,268.0582468424101,73.59151485769046,329.55036182712894,109.09523271059611,371.51714656080486,136.28110384932305,404.39396188590456,159.1235491843904
32,Mt Reuil (WTP),GEV,85.46440981930593,11.73535081004761,129.3005527885574,17.92795763571372,163.21466734712467,27.49915270564557,214.0134951406518,52.48761239018289,259.5081497773279,85.45185121576417,289.9489529912073,112.81877073263225,313.6381983370529,136.9841933749888
33,Mt Reuil (WTP),GPD,120.48777375628089,12.198665862450483,157.0965874736001,23.65762249122082,189.24603809516108,37.45879964066079,239.10295302521882,65.49677414931523,283.6922364664528,97.25749067125224,313.0911369027976,121.63395088304864,335.6477192011638,142.19603844925868
