X_m,Y_m,Elevation,ock_5_mean,ock_5_mean_std,oicckm2_5_mean,oicckm2_5_mean_std,ock_10_mean,ock_10_mean_std,oicckm2_10_mean,oicckm2_10_mean_std,ock_25_mean,ock_25_mean_std,oicckm2_25_mean,oicckm2_25_mean_std,ock_50_mean,ock_50_mean_std,oicckm2_50_mean,oicckm2_50_mean_std,ock_75_mean,ock_75_mean_std,oicckm2_75_mean,oicckm2_75_mean_std,ock_100_mean,ock_100_mean_std,oicckm2_100_mean,oicckm2_100_mean_std,ock_5_std,ock_5_std_std,oicckm2_5_std,oicckm2_5_std_std,ock_10_std,ock_10_std_std,oicckm2_10_std,oicckm2_10_std_std,ock_25_std,ock_25_std_std,oicckm2_25_std,oicckm2_25_std_std,ock_50_std,ock_50_std_std,oicckm2_50_std,oicckm2_50_std_std,ock_75_std,ock_75_std_std,oicckm2_75_std,oicckm2_75_std_std,ock_100_std,ock_100_std_std,oicckm2_100_std,oicckm2_100_std_std
639857.805,1329089.436,11.99,85.113,22.166,99.43,30.922,99.146,28.883,116.332,40.381,121.179,43.358,143.526,59.497,140.623,60.629,168.938,81.414,152.979,74.113,186.155,98.322,162.121,85.538,199.571,112.577,9.675,4.359,11.474,5.996,14.864,8.002,17.95,10.563,24.446,16.633,31.008,21.381,35.827,27.822,45.704,35.431,43.022,37.318,56.723,47.181,48.727,45.727,66.016,57.603
639857.805,1328999.436,11.67,85.113,22.317,99.485,30.967,99.098,29.085,116.43,40.447,121.035,43.644,143.721,59.598,140.368,60.992,169.241,81.549,152.634,74.529,186.538,98.48,161.7,85.995,200.019,112.755,9.634,4.391,11.498,6.007,14.793,8.05,17.994,10.581,24.298,16.716,31.088,21.414,35.508,27.941,45.819,35.481,42.635,37.471,56.862,47.243,48.289,45.91,66.175,57.675
639857.805,1328909.436,11.73,85.167,22.489,99.576,31.013,99.117,29.317,116.574,40.513,120.978,43.972,143.978,59.701,140.22,61.407,169.623,81.687,152.414,75.002,187.011,98.643,161.418,86.514,200.564,112.936,9.599,4.428,11.528,6.019,14.729,8.105,18.046,10.6,24.168,16.81,31.182,21.449,35.227,28.082,45.957,35.535,42.297,37.65,57.03,47.309,47.91,46.123,66.368,57.753
639857.805,1328819.436,10.07,85.353,22.682,99.556,31.059,99.303,29.577,116.572,40.581,121.133,44.339,144.022,59.805,140.313,61.871,169.721,81.828,152.444,75.533,187.147,98.808,161.389,87.096,200.731,113.12,9.581,4.469,11.535,6.031,14.684,8.167,18.06,10.62,24.049,16.915,31.207,21.484,35.071,28.238,45.991,35.592,42.072,37.849,57.065,47.38,47.623,46.36,66.404,57.837
639857.805,1328729.436,8.61,85.473,22.875,99.557,31.106,99.4,29.837,116.596,40.649,121.146,44.705,144.101,59.912,140.198,62.332,169.86,81.971,152.222,76.057,187.329,98.976,161.07,87.67,200.946,113.309,9.546,4.511,11.544,6.043,14.61,8.228,18.078,10.64,23.876,17.019,31.239,21.521,34.834,28.396,46.033,35.652,41.742,38.048,57.111,47.455,47.214,46.598,66.454,57.928
639857.805,1328639.436,7.55,85.729,23.081,99.592,31.154,99.653,30.113,116.664,40.719,121.356,45.096,144.241,60.02,140.328,62.828,170.075,82.117,152.274,76.625,187.596,99.148,161.05,88.294,201.254,113.501,9.522,4.555,11.558,6.055,14.551,8.295,18.104,10.66,23.724,17.133,31.284,21.56,34.583,28.553,46.097,35.715,41.417,38.251,57.184,47.534,46.826,46.843,66.536,58.024
639857.805,1328549.436,7.11,86.106,23.279,99.677,31.202,100.072,30.38,116.798,40.789,121.816,45.473,144.471,60.13,140.795,63.301,170.403,82.265,152.731,77.162,187.994,99.323,161.49,88.881,201.705,113.696,9.526,4.598,11.581,6.068,14.54,8.358,18.143,10.681,23.666,17.24,31.352,21.599,34.525,28.706,46.195,35.781,41.326,38.446,57.301,47.617,46.706,47.076,66.671,58.126
639857.805,1328369.436,35.17,88.062,23.632,101.901,31.3,102.423,30.858,119.754,40.933,125.139,46.14,148.771,60.354,145.4,64.131,176.092,82.569,158.384,78.1,194.684,99.681,168.065,89.902,209.206,114.097,9.769,4.674,12.036,6.094,15.044,8.468,18.868,10.724,24.84,17.422,32.639,21.681,35.577,28.976,48.149,35.92,43.19,38.789,59.774,47.794,49.368,47.483,69.597,58.343
639857.805,1328279.436,32.87,88.17,23.796,101.88,31.35,102.495,31.08,119.745,41.006,125.073,46.45,148.788,60.469,145.132,64.514,176.13,82.724,157.946,78.53,194.732,99.864,167.479,90.369,209.26,114.302,9.722,4.71,12.034,6.108,14.941,8.518,18.866,10.747,24.6,17.504,32.631,21.724,35.232,29.099,48.131,35.993,42.71,38.943,59.744,47.887,48.768,47.666,69.557,58.457
639857.805,1328189.436,31.52,88.417,23.95,101.932,31.4,102.756,31.29,119.832,41.08,125.291,46.742,148.938,60.585,145.252,64.873,176.339,82.881,157.978,78.932,194.978,100.05,167.429,90.804,209.533,114.511,9.705,4.743,12.046,6.121,14.892,8.565,18.884,10.769,24.465,17.579,32.66,21.767,35.088,29.212,48.17,36.068,42.48,39.085,59.785,47.983,48.459,47.833,69.602,58.575
639857.805,1328099.436,31.65,88.759,24.091,102.094,31.451,103.14,31.482,120.063,41.155,125.695,47.007,149.292,60.703,145.637,65.198,176.812,83.041,158.338,79.295,195.532,100.238,167.764,91.196,210.148,114.722,9.71,4.774,12.078,6.135,14.881,8.608,18.936,10.792,24.416,17.647,32.747,21.812,35.03,29.314,48.297,36.144,42.387,39.212,59.94,48.08,48.336,47.982,69.781,58.696
