X_m,Y_m,Elevation,ock_5_mean,ock_5_mean_std,oicckm2_5_mean,oicckm2_5_mean_std,ock_10_mean,ock_10_mean_std,oicckm2_10_mean,oicckm2_10_mean_std,ock_25_mean,ock_25_mean_std,oicckm2_25_mean,oicckm2_25_mean_std,ock_50_mean,ock_50_mean_std,oicckm2_50_mean,oicckm2_50_mean_std,ock_75_mean,ock_75_mean_std,oicckm2_75_mean,oicckm2_75_mean_std,ock_100_mean,ock_100_mean_std,oicckm2_100_mean,oicckm2_100_mean_std,ock_5_std,ock_5_std_std,oicckm2_5_std,oicckm2_5_std_std,ock_10_std,ock_10_std_std,oicckm2_10_std,oicckm2_10_std_std,ock_25_std,ock_25_std_std,oicckm2_25_std,oicckm2_25_std_std,ock_50_std,ock_50_std_std,oicckm2_50_std,oicckm2_50_std_std,ock_75_std,ock_75_std_std,oicckm2_75_std,oicckm2_75_std_std,ock_100_std,ock_100_std_std,oicckm2_100_std,oicckm2_100_std_std
641567.805,1336919.436,514.18,141.667,12.012,158.453,26.657,169.39,15.787,188.04,34.957,213.253,23.348,235.474,51.833,287.717,53.068,278.738,70.938,323.46,65.039,307.575,85.432,352.396,75.192,329.828,97.487,17.712,2.355,18.816,5.19,26.692,4.248,27.189,8.423,54.563,14.729,43.454,13.245,79.939,24.08,63.265,24.492,87.193,25.277,82.615,39.553,102.896,31.409,91.056,42.21
641567.805,1336829.436,534.15,145.068,12.999,160.049,26.659,173.685,17.09,190.191,34.982,219.317,25.284,238.51,51.896,294.731,54.157,282.642,71.05,329.923,66.238,312.108,85.593,360.107,76.477,334.881,97.698,18.215,2.551,19.094,5.208,27.605,4.592,27.762,8.644,56.158,14.948,44.657,14.302,83.326,24.489,64.992,25.698,94.255,27.378,83.98,39.796,111.923,33.837,93.54,43.607
641567.805,1336739.436,548.47,147.919,13.904,161.266,26.66,177.238,18.286,191.857,35.007,224.23,27.062,240.875,51.957,300.738,55.064,285.687,71.157,335.412,67.223,315.647,85.745,366.594,77.529,338.829,97.897,18.586,2.731,19.305,5.226,28.283,4.908,28.212,8.828,57.487,15.126,45.697,15.28,86.05,24.821,66.482,26.834,100.49,29.168,85.017,40.046,119.673,35.875,95.681,44.931
641567.805,1336649.436,555.64,150.328,14.735,162.004,26.661,180.192,19.384,192.908,35.031,228.211,28.698,242.387,52.014,306.579,55.862,287.641,71.258,340.272,68.038,317.921,85.887,372.332,78.402,341.372,98.082,18.849,2.897,19.431,5.242,28.777,5.201,28.512,8.981,58.652,15.276,46.51,16.16,88.418,25.106,67.638,27.869,105.054,30.645,85.633,40.297,125.45,37.534,97.34,46.142
641567.805,1336559.436,559.23,152.823,15.48,162.493,26.661,183.262,20.369,193.641,35.052,232.381,30.166,243.46,52.067,311.409,56.499,289.032,71.349,344.389,68.701,319.543,86.017,377.106,79.107,343.189,98.25,19.137,3.047,19.512,5.256,29.323,5.465,28.725,9.107,59.553,15.397,47.184,16.93,90.257,25.326,68.595,28.784,108.872,31.83,86.022,40.54,130.611,38.844,98.714,47.214
641567.805,1336469.436,555.11,154.854,16.135,162.463,26.66,185.723,21.235,193.706,35.07,235.636,31.457,243.606,52.113,314.289,57.006,289.236,71.431,347.326,69.239,319.792,86.132,380.252,79.675,343.48,98.4,19.323,3.179,19.502,5.268,29.677,5.697,28.78,9.211,59.988,15.495,47.576,17.589,90.968,25.497,69.138,29.57,112.162,32.753,85.945,40.769,134.811,39.85,99.492,48.135
641567.805,1336379.436,549.28,156.994,16.711,162.304,26.658,188.338,21.998,193.606,35.085,239.153,32.596,243.526,52.152,316.503,57.42,289.151,71.501,349.734,69.674,319.704,86.232,382.738,80.134,343.395,98.529,19.541,3.297,19.469,5.279,30.086,5.903,28.782,9.296,60.216,15.574,47.846,18.138,91.325,25.633,69.513,30.227,115.803,33.452,85.736,40.979,139.181,40.601,100.034,48.902
641567.805,1336289.436,540.05,158.181,17.196,161.905,26.654,189.694,22.639,193.196,35.096,240.765,33.553,243.018,52.185,317.313,57.744,288.52,71.559,351.326,70.021,318.985,86.315,384.142,80.498,342.607,98.638,19.544,3.395,19.393,5.288,30.103,6.075,28.704,9.365,60.076,15.637,47.928,18.582,90.961,25.738,69.619,30.76,118.868,33.963,85.295,41.165,142.071,41.143,100.197,49.522
641567.805,1336199.436,526.63,158.192,17.594,161.214,26.65,189.491,23.166,192.41,35.104,240.005,34.34,241.99,52.209,316.933,57.997,287.224,71.605,352.279,70.292,317.495,86.381,384.655,80.781,340.964,98.724,19.279,3.477,19.266,5.296,29.635,6.217,28.531,9.418,59.599,15.686,47.782,18.93,89.906,25.818,69.402,31.177,120.309,34.325,84.577,41.323,142.611,41.521,99.901,50.005
641567.805,1336109.436,511.11,157.561,17.905,160.365,26.643,188.442,23.579,191.421,35.107,237.976,34.956,240.683,52.225,315.876,58.185,285.574,71.636,352.608,70.496,315.597,86.428,384.437,80.994,338.866,98.788,18.873,3.54,19.112,5.301,28.92,6.328,28.302,9.459,59.024,15.723,47.459,19.189,88.552,25.877,68.936,31.487,119.802,34.57,83.697,41.451,141.095,41.773,99.26,50.364
