X_m,Y_m,Elevation,ock_5_mean,ock_5_mean_std,oicckm2_5_mean,oicckm2_5_mean_std,ock_10_mean,ock_10_mean_std,oicckm2_10_mean,oicckm2_10_mean_std,ock_25_mean,ock_25_mean_std,oicckm2_25_mean,oicckm2_25_mean_std,ock_50_mean,ock_50_mean_std,oicckm2_50_mean,oicckm2_50_mean_std,ock_75_mean,ock_75_mean_std,oicckm2_75_mean,oicckm2_75_mean_std,ock_100_mean,ock_100_mean_std,oicckm2_100_mean,oicckm2_100_mean_std,ock_5_std,ock_5_std_std,oicckm2_5_std,oicckm2_5_std_std,ock_10_std,ock_10_std_std,oicckm2_10_std,oicckm2_10_std_std,ock_25_std,ock_25_std_std,oicckm2_25_std,oicckm2_25_std_std,ock_50_std,ock_50_std_std,oicckm2_50_std,oicckm2_50_std_std,ock_75_std,ock_75_std_std,oicckm2_75_std,oicckm2_75_std_std,ock_100_std,ock_100_std_std,oicckm2_100_std,oicckm2_100_std_std
640487.805,1339799.436,511.34,149.002,19.706,138.323,25.33,162.614,18.621,179.463,31.885,215.566,26.016,245.985,43.143,266.512,34.77,309.175,55.643,302.76,42.034,353.28,65.98,332.085,48.62,388.873,75.405,16.414,2.372,18.884,4.134,25.806,3.516,30.186,6.041,50.444,7.74,59.799,12.632,86.516,15.944,102.235,24.491,119.28,24.695,140.461,36.795,150.162,33.722,176.37,49.348
640487.805,1339709.436,503.17,148.65,19.7,137.898,25.326,158.648,18.594,178.694,31.881,213.676,25.919,244.761,43.131,264.471,34.655,307.479,55.621,300.503,41.9,351.22,65.95,329.591,48.467,386.492,75.367,16.297,2.368,18.771,4.132,25.648,3.508,29.997,6.038,50.146,7.723,59.385,12.627,85.947,15.917,101.451,24.481,118.416,24.661,139.316,36.781,148.99,33.682,174.871,49.33
640487.805,1339619.436,512.18,149.066,19.705,138.466,25.323,161.213,18.591,179.295,31.877,213.695,25.902,245.686,43.12,264.988,34.64,308.851,55.6,301.354,41.885,352.956,65.92,330.705,48.45,388.539,75.33,16.338,2.368,18.831,4.131,25.737,3.508,30.116,6.036,50.402,7.724,59.676,12.621,86.521,15.924,102.028,24.471,119.325,24.676,140.176,36.767,150.246,33.705,176.015,49.313
640487.805,1339529.436,522.26,149.552,19.72,139.099,25.321,164.232,18.613,179.979,31.873,216.204,25.963,246.747,43.108,268.392,34.725,310.423,55.578,305.566,41.988,354.945,65.89,335.682,48.57,390.883,75.293,16.474,2.374,18.902,4.13,25.998,3.516,30.255,6.034,51.047,7.742,60.015,12.616,87.793,15.964,102.695,24.461,121.22,24.738,141.169,36.753,152.762,33.791,177.332,49.296
640487.805,1339439.436,534.5,150.019,19.744,139.861,25.318,168.296,18.654,180.834,31.869,219.436,26.089,248.08,43.096,272.626,34.892,312.39,55.557,310.748,42.19,357.426,65.861,341.778,48.803,393.805,75.257,16.642,2.383,18.996,4.128,26.314,3.531,30.434,6.031,51.821,7.775,60.444,12.61,89.309,16.031,103.538,24.451,123.471,24.84,142.421,36.739,155.745,33.928,178.99,49.279
640487.805,1339349.436,535.58,150.03,19.774,139.988,25.316,167.755,18.713,180.802,31.864,221.874,26.273,248.022,43.085,275.72,35.133,312.381,55.536,314.528,42.478,357.472,65.832,346.25,49.135,393.894,75.22,16.721,2.396,18.977,4.127,26.498,3.551,30.414,6.029,52.309,7.821,60.42,12.605,90.224,16.121,103.507,24.441,124.778,24.976,142.384,36.726,157.422,34.109,178.95,49.262
640487.805,1339259.436,531.08,149.744,19.81,139.802,25.313,164.891,18.786,180.326,31.86,222.068,26.498,247.27,43.073,276.109,35.427,311.39,55.515,315.138,42.83,356.308,65.803,347.084,49.542,392.578,75.185,16.69,2.412,18.903,4.126,26.496,3.576,30.295,6.027,52.385,7.876,60.17,12.599,90.371,16.229,103.042,24.431,124.958,25.137,141.708,36.712,157.615,34.323,178.067,49.245
640487.805,1339169.436,530.06,149.619,19.849,139.821,25.311,164.134,18.864,180.128,31.856,223.481,26.749,246.956,43.062,278.069,35.754,311.027,55.494,317.629,43.221,355.927,65.774,350.093,49.993,392.177,75.149,16.729,2.429,18.864,4.125,26.613,3.604,30.24,6.024,52.738,7.936,60.066,12.594,91.055,16.347,102.857,24.421,125.939,25.313,141.444,36.698,158.872,34.555,177.728,49.228
640487.805,1339079.436,535.72,149.933,19.889,140.226,25.309,166.149,18.945,180.459,31.852,224.442,27.008,247.477,43.05,279.743,36.091,311.861,55.473,319.874,43.625,357.028,65.745,352.844,50.46,393.507,75.114,16.799,2.447,18.893,4.123,26.764,3.632,30.305,6.022,53.172,7.999,60.238,12.589,91.97,16.469,103.204,24.411,127.332,25.494,141.965,36.684,160.739,34.794,178.42,49.212
640487.805,1338989.436,554.74,150.885,19.927,141.398,25.307,174.258,19.029,181.85,31.848,227.072,27.263,249.666,43.039,283.711,36.426,315.077,55.452,324.911,44.026,361.08,65.716,358.833,50.923,398.278,75.079,17.005,2.464,19.056,4.122,27.131,3.66,30.61,6.019,54.098,8.062,60.958,12.583,93.903,16.59,104.61,24.401,130.301,25.673,144.044,36.671,164.762,35.03,181.166,49.195
