X_m,Y_m,Elevation,ock_5_mean,ock_5_mean_std,oicckm2_5_mean,oicckm2_5_mean_std,ock_10_mean,ock_10_mean_std,oicckm2_10_mean,oicckm2_10_mean_std,ock_25_mean,ock_25_mean_std,oicckm2_25_mean,oicckm2_25_mean_std,ock_50_mean,ock_50_mean_std,oicckm2_50_mean,oicckm2_50_mean_std,ock_75_mean,ock_75_mean_std,oicckm2_75_mean,oicckm2_75_mean_std,ock_100_mean,ock_100_mean_std,oicckm2_100_mean,oicckm2_100_mean_std,ock_5_std,ock_5_std_std,oicckm2_5_std,oicckm2_5_std_std,ock_10_std,ock_10_std_std,oicckm2_10_std,oicckm2_10_std_std,ock_25_std,ock_25_std_std,oicckm2_25_std,oicckm2_25_std_std,ock_50_std,ock_50_std_std,oicckm2_50_std,oicckm2_50_std_std,ock_75_std,ock_75_std_std,oicckm2_75_std,oicckm2_75_std_std,ock_100_std,ock_100_std_std,oicckm2_100_std,oicckm2_100_std_std
639677.805,1344029.436,157.23,111.471,20.684,114.577,26.71,140.204,25.038,145.547,33.204,189.065,32.899,194.458,43.73,235.879,35.225,240.65,55.034,271.159,41.026,273.14,64.334,300.121,46.402,299.349,72.844,14.855,2.359,15.368,3.739,23.552,2.885,24.076,5.409,46.774,6.242,46.307,11.358,79.626,12.831,76.667,22.119,108.701,20.004,102.832,33.29,135.505,27.499,126.579,44.686
639677.805,1343939.436,152.88,111.633,20.674,114.432,26.7,140.933,25.021,145.25,33.182,189.089,32.856,193.768,43.682,234.275,35.107,239.464,54.957,269.283,40.885,271.577,64.236,298.024,46.241,297.478,72.728,14.736,2.351,15.299,3.733,23.405,2.875,23.944,5.401,46.506,6.22,46.015,11.34,79.181,12.786,76.136,22.087,108.087,19.935,102.081,33.245,134.72,27.406,125.621,44.63
639677.805,1343849.436,154.12,112.009,20.669,114.381,26.691,141.622,25.012,145.107,33.161,189.398,32.835,193.374,43.636,233.716,35.074,238.752,54.883,268.601,40.846,270.628,64.141,297.26,46.196,296.344,72.616,14.7,2.348,15.257,3.728,23.328,2.872,23.868,5.392,46.392,6.214,45.859,11.322,79.053,12.773,75.875,22.055,107.975,19.915,101.733,33.201,134.638,27.378,125.197,44.575
639677.805,1343759.436,158.15,112.51,20.669,114.379,26.682,142.38,25.012,145.045,33.141,189.876,32.835,193.133,43.591,233.276,35.134,238.28,54.811,268.01,40.917,269.99,64.049,296.561,46.278,295.583,72.508,14.673,2.352,15.23,3.724,23.256,2.877,23.821,5.384,46.275,6.225,45.772,11.305,78.914,12.795,75.748,22.025,107.846,19.949,101.583,33.158,134.536,27.424,125.037,44.522
639677.805,1343669.436,169.83,113.335,20.673,114.502,26.673,143.207,25.019,145.191,33.121,190.78,32.857,193.295,43.547,233.74,35.276,238.454,54.742,268.418,41.086,270.193,63.961,296.955,46.471,295.832,72.404,14.713,2.362,15.242,3.719,23.241,2.889,23.851,5.376,46.276,6.252,45.873,11.289,79.024,12.848,75.992,21.995,108.121,20.029,101.987,33.118,135.012,27.533,125.61,44.471
639677.805,1343579.436,182.6,114.161,20.681,114.647,26.665,143.914,25.034,145.372,33.102,191.71,32.894,193.524,43.505,234.413,35.48,238.73,54.675,269.04,41.33,270.526,63.876,297.568,46.751,296.234,72.305,14.771,2.375,15.259,3.714,23.241,2.907,23.893,5.369,46.3,6.291,46.002,11.273,79.17,12.924,76.288,21.967,108.448,20.145,102.467,33.078,135.556,27.689,126.282,44.421
639677.805,1343489.436,197.56,115.073,20.692,114.832,26.656,144.63,25.054,145.618,33.083,192.731,32.947,193.876,43.464,235.369,35.753,239.201,54.61,269.97,41.657,271.111,63.794,298.508,47.125,296.936,72.208,14.851,2.393,15.288,3.71,23.263,2.931,23.958,5.362,46.361,6.342,46.185,11.258,79.375,13.027,76.691,21.939,108.857,20.301,103.103,33.04,136.207,27.9,127.163,44.373
639677.805,1343399.436,212.48,115.966,20.705,115.023,26.648,145.306,25.079,145.872,33.065,193.734,33.011,194.238,43.425,236.358,36.078,239.685,54.548,270.917,42.044,271.708,63.715,299.448,47.569,297.648,72.116,14.939,2.415,15.318,3.706,23.29,2.958,24.024,5.355,46.422,6.403,46.368,11.243,79.559,13.148,77.091,21.913,109.217,20.486,103.735,33.003,136.782,28.15,128.036,44.327
639677.805,1343309.436,227.39,116.92,20.719,115.222,26.64,146.095,25.107,146.134,33.047,194.807,33.081,194.614,43.386,237.195,36.431,240.186,54.487,271.652,42.467,272.323,63.639,300.12,48.054,298.377,72.026,15.019,2.438,15.348,3.702,23.307,2.989,24.092,5.348,46.446,6.469,46.553,11.229,79.654,13.281,77.492,21.888,109.432,20.687,104.366,32.967,137.152,28.422,128.906,44.282
639677.805,1343219.436,240.71,117.883,20.735,115.403,26.632,147.034,25.136,146.363,33.029,195.899,33.156,194.922,43.349,237.807,36.811,240.575,54.429,272.103,42.922,272.785,63.565,300.448,48.575,298.918,71.94,15.083,2.463,15.372,3.698,23.309,3.021,24.144,5.342,46.424,6.54,46.7,11.216,79.636,13.423,77.817,21.863,109.457,20.904,104.882,32.933,137.25,28.714,129.622,44.239
639677.805,1343129.436,252.61,118.895,20.75,115.569,26.624,148.21,25.165,146.565,33.012,197.1,33.231,195.173,43.313,238.256,37.2,240.866,54.373,272.339,43.389,273.116,63.494,300.51,49.111,299.296,71.857,15.134,2.489,15.389,3.694,23.301,3.055,24.184,5.336,46.368,6.613,46.815,11.203,79.527,13.569,78.074,21.84,109.327,21.126,105.296,32.9,137.125,29.014,130.201,44.197
639677.805,1343039.436,261.66,119.854,20.764,115.7,26.617,149.504,25.194,146.702,32.996,198.271,33.304,195.294,43.278,238.541,37.583,240.944,54.318,272.377,43.848,273.163,63.425,300.336,49.638,299.326,71.776,15.169,2.515,15.393,3.69,23.286,3.088,24.197,5.33,46.282,6.686,46.862,11.19,79.338,13.713,78.195,21.817,109.054,21.345,105.505,32.868,136.785,29.308,130.506,44.157
639677.805,1342949.436,267.06,120.71,20.778,115.783,26.609,150.882,25.22,146.754,32.98,199.346,33.372,195.244,43.245,238.236,37.953,240.743,54.266,271.695,44.293,272.84,63.359,299.317,50.149,298.905,71.699,15.157,2.539,15.38,3.687,23.23,3.12,24.175,5.324,46.089,6.756,46.823,11.178,78.91,13.853,78.142,21.795,108.396,21.557,105.451,32.837,135.904,29.593,130.462,44.118
639677.805,1342859.436,270.62,121.493,20.79,115.845,26.602,152.234,25.244,146.768,32.964,200.354,33.434,195.117,43.212,238.024,38.296,240.414,54.215,271.122,44.707,272.346,63.295,298.417,50.624,298.274,71.624,15.15,2.562,15.36,3.683,23.184,3.149,24.137,5.318,45.91,6.821,46.741,11.167,78.495,13.982,78.003,21.774,107.742,21.753,105.267,32.807,135.016,29.857,130.242,44.08
639677.805,1342769.436,274.42,122.271,20.8,115.918,26.595,153.541,25.264,146.798,32.949,201.371,33.487,195.02,43.18,237.701,38.608,240.13,54.166,270.372,45.083,271.907,63.233,297.28,51.057,297.705,71.551,15.135,2.582,15.341,3.68,23.125,3.177,24.103,5.313,45.692,6.88,46.668,11.156,77.998,14.101,77.879,21.754,106.97,21.932,105.105,32.779,133.974,30.097,130.051,44.044
639677.805,1342679.436,279.78,123.175,20.809,116.021,26.588,154.996,25.281,146.879,32.934,202.58,33.532,195.021,43.15,237.623,38.882,240.002,54.119,269.889,45.414,271.668,63.173,296.431,51.437,297.373,71.481,15.135,2.6,15.331,3.677,23.082,3.2,24.086,5.308,45.502,6.933,46.638,11.145,77.556,14.205,77.836,21.734,106.279,22.089,105.061,32.751,133.044,30.307,130.014,44.009
639677.805,1342589.436,288.3,124.187,20.815,116.18,26.581,156.396,25.294,147.052,32.919,203.901,33.567,195.203,43.12,237.693,39.11,240.163,54.073,269.536,45.69,271.804,63.116,295.703,51.756,297.491,71.414,15.15,2.615,15.339,3.674,23.041,3.221,24.104,5.303,45.315,6.977,46.688,11.135,77.126,14.292,77.952,21.716,105.623,22.22,105.252,32.725,132.177,30.483,130.289,43.976
639677.805,1342499.436,301.15,125.41,20.819,116.412,26.575,157.895,25.302,147.349,32.905,205.514,33.591,195.625,43.092,238.575,39.291,240.709,54.029,270.145,45.91,272.443,63.06,296.074,52.01,298.213,71.348,15.22,2.627,15.369,3.671,23.058,3.237,24.168,5.299,45.257,7.012,46.85,11.125,76.958,14.361,78.285,21.698,105.37,22.324,105.765,32.7,131.865,30.621,130.988,43.943
639677.805,1342409.436,316.16,126.778,20.82,116.683,26.568,159.558,25.306,147.712,32.892,207.343,33.604,196.177,43.064,239.464,39.422,241.464,53.986,270.728,46.07,273.351,63.006,296.39,52.194,299.257,71.285,15.283,2.635,15.411,3.669,23.07,3.248,24.255,5.294,45.181,7.038,47.068,11.116,76.754,14.411,78.729,21.68,105.07,22.399,106.441,32.675,131.496,30.721,131.903,43.912
639677.805,1342319.436,333.14,128.204,20.819,116.99,26.562,161.141,25.305,148.137,32.879,209.22,33.606,196.85,43.038,241.182,39.501,242.412,53.945,272.338,46.166,274.51,62.954,297.909,52.306,300.599,71.224,15.408,2.64,15.464,3.666,23.146,3.256,24.365,5.29,45.255,7.054,47.34,11.107,76.846,14.442,79.275,21.664,105.213,22.444,107.27,32.652,131.719,30.781,133.018,43.883
639677.805,1342229.436,349.4,129.584,20.816,117.293,26.555,162.66,25.3,148.554,32.866,211.031,33.597,197.505,43.012,243.176,39.527,243.331,53.905,274.299,46.199,275.628,62.904,299.842,52.345,301.89,71.165,15.552,2.642,15.515,3.663,23.241,3.258,24.471,5.286,45.378,7.059,47.599,11.098,77.031,14.452,79.794,21.648,105.49,22.459,108.054,32.629,132.115,30.8,134.074,43.854
