X_m,Y_m,Elevation,ock_5_mean,ock_5_mean_std,oicckm2_5_mean,oicckm2_5_mean_std,ock_10_mean,ock_10_mean_std,oicckm2_10_mean,oicckm2_10_mean_std,ock_25_mean,ock_25_mean_std,oicckm2_25_mean,oicckm2_25_mean_std,ock_50_mean,ock_50_mean_std,oicckm2_50_mean,oicckm2_50_mean_std,ock_75_mean,ock_75_mean_std,oicckm2_75_mean,oicckm2_75_mean_std,ock_100_mean,ock_100_mean_std,oicckm2_100_mean,oicckm2_100_mean_std,ock_5_std,ock_5_std_std,oicckm2_5_std,oicckm2_5_std_std,ock_10_std,ock_10_std_std,oicckm2_10_std,oicckm2_10_std_std,ock_25_std,ock_25_std_std,oicckm2_25_std,oicckm2_25_std_std,ock_50_std,ock_50_std_std,oicckm2_50_std,oicckm2_50_std_std,ock_75_std,ock_75_std_std,oicckm2_75_std,oicckm2_75_std_std,ock_100_std,ock_100_std_std,oicckm2_100_std,oicckm2_100_std_std
640667.805,1340339.436,596.42,150.428,8.537,183.468,20.692,186.27,15.029,215.501,25.357,228.601,21.488,255.118,34.8,255.631,28.106,263.312,35.31,294.344,40.127,297.372,50.523,316.269,48.905,308.508,53.797,21.118,2.685,21.622,4.519,-402.319,4.866,32.19,7.331,1070.781,8.943,53.162,13.989,68.59,18.639,75.489,22.748,-5176.432,24.618,91.996,30.083,78.67,30.452,105.577,36.606
640667.805,1340249.436,591.3,150.887,8.231,182.893,20.666,186.434,14.647,214.841,25.313,227.696,20.947,254.237,34.636,254.751,27.249,262.373,34.322,293.409,39.076,295.433,49.258,316.007,47.688,306.009,51.799,21.132,2.614,21.452,4.449,-370.789,4.731,31.932,7.195,1716.567,8.641,52.641,13.619,72.747,18.237,74.685,22.122,-7394.863,24.075,90.962,29.242,86.49,29.808,104.339,35.573
640667.805,1340159.436,580.61,150.199,7.938,181.777,20.641,185.177,14.282,213.531,25.269,225.932,20.428,252.54,34.48,252.834,26.434,260.548,33.387,290.693,38.078,292.496,48.064,312.968,46.535,302.497,49.898,20.84,2.546,21.204,4.384,-221.648,4.604,31.555,7.067,2255.564,8.354,51.917,13.27,73.654,17.856,73.583,21.53,-7918.413,23.565,89.554,28.446,84.138,29.201,102.666,34.595
640667.805,1340069.436,561.86,149.207,7.669,179.874,20.616,183.18,13.953,211.271,25.227,223.299,19.946,249.639,34.334,250.207,25.669,257.362,32.516,286.935,37.155,288.032,46.957,309.419,45.476,297.4,48.12,20.406,2.485,20.841,4.325,-35.752,4.486,31.002,6.949,2450.089,8.087,50.896,12.948,74.661,17.508,72.044,20.981,-6176.145,23.098,87.6,27.708,87.645,28.648,100.35,33.69
640667.805,1339979.436,545.56,146.365,7.429,178.225,20.592,178.47,13.665,209.325,25.186,220.409,19.514,247.17,34.197,247.05,24.973,254.822,31.717,280.234,36.329,284.321,45.952,299.072,44.533,293.213,46.489,19.385,2.431,20.521,4.272,300.594,4.381,30.516,6.845,2457.566,7.844,49.989,12.658,62.108,17.202,70.673,20.487,-2183.1,22.686,85.857,27.043,51.897,28.162,98.284,32.872
640667.805,1339889.436,534.16,144.492,7.214,177.074,20.568,175.126,13.413,207.987,25.147,218.344,19.125,245.516,34.07,244.618,24.346,253.391,30.997,274.578,35.601,281.897,45.061,289.886,43.712,290.524,45.025,18.556,2.384,20.283,4.228,895.495,4.289,30.152,6.755,2631.357,7.628,49.293,12.405,51.75,16.937,69.613,20.055,3346.225,22.336,84.505,26.46,30.065,27.747,96.676,32.156
640667.805,1339799.436,535.72,144.034,7.032,177.219,20.545,173.979,13.209,208.225,25.108,217.916,18.789,245.932,33.953,244.01,23.8,254.606,30.363,271.96,34.99,282.505,44.294,284.939,43.035,291.24,43.744,18.073,2.345,20.248,4.193,1280.499,4.213,30.096,6.682,2274.494,7.443,49.121,12.195,40.785,16.724,69.327,19.692,6979.183,22.054,84.122,25.97,7.91,27.416,96.206,31.552
640667.805,1339709.436,543.74,144.511,6.886,178.015,20.523,174.31,13.058,209.257,25.071,218.422,18.518,247.403,33.846,244.507,23.344,257.22,29.818,271.686,34.505,284.742,43.658,284.222,42.511,293.828,42.657,17.84,2.316,20.318,4.167,1344.44,4.153,30.201,6.626,1355.241,7.29,49.223,12.028,33.128,16.566,69.444,19.402,7955.078,21.845,84.244,25.576,-10.747,27.173,96.329,31.065
640667.805,1339619.436,560.69,145.569,6.773,179.707,20.501,175.809,12.952,211.378,25.036,219.741,18.304,250.314,33.749,245.809,22.976,261.699,29.365,273.108,34.143,289.141,43.155,286.128,42.134,298.871,41.766,17.828,2.294,20.532,4.15,942.253,4.109,30.522,6.586,-172.267,7.17,49.695,11.905,27.045,16.457,70.107,19.185,5803.41,21.709,85.049,25.279,-27.502,27.014,97.253,30.698
640667.805,1339529.436,574.0,147.78,6.693,181.045,20.48,179.294,12.892,213.076,25.002,221.294,18.146,252.704,33.663,247.443,22.697,265.636,29.003,276.438,33.904,292.985,42.784,292.711,41.905,303.399,41.066,18.235,2.282,20.702,4.142,214.745,4.081,30.774,6.564,-1833.503,7.081,50.051,11.825,29.329,16.402,70.597,19.038,1254.895,21.643,85.638,25.077,-23.405,26.94,97.925,30.446
640667.805,1339439.436,580.0,150.231,6.645,181.667,20.46,183.205,12.876,213.909,24.969,221.474,18.049,254.001,33.586,247.652,22.507,268.323,28.73,278.794,33.78,295.479,42.538,301.371,41.811,306.538,40.544,18.818,2.277,20.773,4.143,328.579,4.068,30.873,6.557,-1567.212,7.021,50.152,11.784,35.581,16.389,70.708,18.956,-527.974,21.64,85.751,24.96,3.991,26.939,98.036,30.298
640667.805,1339349.436,577.81,152.845,6.622,181.483,20.44,187.075,12.894,213.769,24.938,221.467,17.997,254.065,33.518,247.81,22.391,269.583,28.542,281.514,33.755,296.426,42.408,310.096,41.832,308.07,40.181,19.478,2.278,20.732,4.152,896.07,4.066,30.801,6.564,245.302,6.986,49.963,11.776,47.987,16.417,70.39,18.929,-567.095,21.691,85.326,24.917,43.836,27.002,97.516,30.241
640667.805,1339259.436,571.5,155.211,6.623,180.897,20.421,190.492,12.944,213.146,24.908,221.187,17.995,253.53,33.459,247.683,22.35,270.181,28.432,283.412,33.817,296.698,42.379,317.604,41.95,308.942,39.95,20.139,2.284,20.64,4.166,1892.611,4.074,30.65,6.582,3047.426,6.972,49.642,11.794,62.201,16.477,69.876,18.946,2542.021,21.782,84.653,24.933,94.074,27.116,96.705,30.256
640667.805,1339169.436,565.6,156.362,6.643,180.358,20.403,192.046,13.014,212.582,24.879,221.094,18.034,253.099,33.407,247.484,22.37,270.972,28.392,283.852,33.943,297.263,42.437,319.652,42.136,310.204,39.823,20.453,2.294,20.566,4.185,1769.689,4.089,30.522,6.609,3944.371,6.971,49.364,11.831,72.695,16.554,69.423,18.994,3577.263,21.901,84.057,24.99,125.675,27.261,95.983,30.321
640667.805,1339079.436,563.86,157.892,6.672,180.237,20.385,194.104,13.095,212.527,24.852,222.126,18.097,253.353,33.362,248.79,22.432,272.658,28.411,286.301,34.109,298.916,42.562,323.569,42.36,312.719,39.767,20.881,2.306,20.565,4.207,658.557,4.107,30.504,6.642,2267.829,6.979,49.274,11.877,87.997,16.641,69.244,19.058,2108.058,22.031,83.804,25.07,172.972,27.42,95.663,30.414
640667.805,1338989.436,570.48,159.119,6.71,180.949,20.367,195.779,13.182,213.486,24.826,224.313,18.183,254.946,33.324,251.287,22.531,276.028,28.481,289.37,34.296,302.551,42.736,325.902,42.598,317.454,39.751,21.183,2.319,20.699,4.231,-1446.425,4.124,30.691,6.677,-1481.109,6.99,49.533,11.924,96.282,16.728,69.578,19.125,-3589.349,22.156,84.192,25.153,191.135,27.577,96.095,30.513
640667.805,1338899.436,577.86,161.065,6.748,181.74,20.351,198.501,13.261,214.544,24.801,226.992,18.28,256.689,33.29,254.603,22.648,279.617,28.59,294.082,34.478,306.51,42.938,331.538,42.816,322.586,39.744,21.611,2.33,20.855,4.253,-3673.865,4.138,30.907,6.711,-6047.217,6.998,49.845,11.963,104.285,16.801,69.988,19.181,-10400.952,22.262,84.673,25.223,214.726,27.711,96.636,30.595
640667.805,1338809.436,585.64,162.725,6.783,182.574,20.334,200.775,13.327,215.655,24.777,229.505,18.378,258.524,33.26,257.754,22.769,283.341,28.728,298.078,34.634,310.698,43.151,335.698,42.99,327.999,39.72,21.876,2.339,21.027,4.273,-5004.643,4.147,31.145,6.742,-8538.077,6.998,50.195,11.987,102.777,16.851,70.45,19.213,-15299.57,22.333,85.219,25.262,206.545,27.806,97.252,30.639
640667.805,1338719.436,577.43,162.001,6.81,181.823,20.318,199.341,13.371,214.847,24.754,230.087,18.468,257.896,33.233,258.868,22.884,284.058,28.884,297.67,34.744,311.556,43.356,333.17,43.094,329.793,39.655,21.43,2.345,20.967,4.289,-4268.365,4.147,31.029,6.766,-7536.696,6.987,49.945,11.988,96.479,16.871,70.025,19.21,-13000.987,22.358,84.652,25.255,188.416,27.849,96.56,30.629
640667.805,1338629.436,563.94,160.248,6.824,180.549,20.303,196.191,13.388,213.408,24.731,230.143,18.543,256.468,33.209,259.452,22.98,283.795,29.048,295.691,34.79,311.375,43.538,327.466,43.107,330.456,39.531,20.627,2.345,20.837,4.299,-1575.095,4.136,30.801,6.781,-2824.217,6.961,49.507,11.962,85.629,16.85,69.319,19.163,-3565.772,22.324,83.731,25.191,154.444,27.823,95.454,30.55
640667.805,1338539.436,539.9,158.116,6.823,178.23,20.288,192.473,13.37,210.701,24.71,229.383,18.593,253.418,33.185,259.293,23.045,281.531,29.211,292.912,34.756,308.996,43.68,321.403,43.011,328.708,39.332,19.745,2.34,20.554,4.302,1303.379,4.113,30.341,6.784,2964.373,6.917,48.674,11.903,79.948,16.785,68.027,19.065,6312.374,22.224,82.074,25.06,135.671,27.719,93.483,30.39
640667.805,1338449.436,514.35,155.483,6.807,175.759,20.273,187.948,13.316,207.813,24.689,228.652,18.614,250.149,33.161,259.106,23.073,278.976,29.366,289.707,34.633,306.346,43.773,313.81,42.793,326.642,39.052,18.758,2.329,20.254,4.297,3074.611,4.078,29.851,6.774,6954.252,6.856,47.791,11.808,74.774,16.668,66.658,18.911,11233.433,22.053,80.319,24.856,111.139,27.53,91.396,30.142
