LE,gammaE,nugget
19.27573848840378,0.6086913890968245,0.2771900923334017
13.729072297549466,0.6225175550407518,0.221168658339101
18.846069725656776,0.6048857016899709,0.2740378549627461
17.753416776691108,0.6386075054073796,0.26191646625799486
15.235537800286966,0.6609392145353324,0.25928619253125174
15.3383871125908,0.6570588484733729,0.25852520177780103
15.673372085203765,0.6590185993647928,0.2519113507074694
14.736488997201155,0.5196813295588882,0.19161852883838196
13.241785142474116,0.5928661322541515,0.20457349254020374
13.603211411355849,0.584692411258299,0.1982008925544588
15.501440999651901,0.5477795071169768,0.22110309035600131
16.67517531926668,0.722781253471556,0.3083953194344965
16.477744737394314,0.7177593748429822,0.29295107243333485
17.4617459957449,0.7277348158124396,0.3037527206767731
18.987218140062605,0.736330731859829,0.3201540459031831
17.313061094601114,0.7322403582702629,0.30294833449028935
17.250557445703308,0.7474883018969674,0.3075515289630988
16.523059185981097,0.659897736975512,0.26865728026824925
15.669174571932933,0.6420206502680439,0.2569887968458973
16.367764410440774,0.6524761675950637,0.27228021425997967
17.671907060493776,0.6298097540601126,0.27285819253599797
15.461417465033076,0.5904579911494431,0.23149934376036657
16.191470177525368,0.5808517831144212,0.22166730810803462
16.00655584083164,0.5755487985725289,0.2334185790464973
13.860111498518037,0.6018137842692382,0.21943830376226667
14.727520436768101,0.5449889236954393,0.19924450026763957
14.877309441338266,0.5278894191629643,0.19900672911790052
16.38282082075736,0.6037786554425119,0.2468854145904809
15.637078498844527,0.6232888504536598,0.2521786109538936
15.51321933505865,0.6305183403001201,0.2484844940421962
20.795696542895545,0.7155827755508579,0.32756750989361505
20.444723667793646,0.7108000208335088,0.31650523057816476
18.618776575195934,0.6750249039674767,0.3001695058536506
17.897016148252597,0.648009287515179,0.26752235654021056
17.13700870471545,0.6463406654062357,0.27296466358500804
15.438741080129207,0.6235104716273916,0.2435916818294835
17.982134850224398,0.6416736706047349,0.2817399284251272
19.08479637746985,0.5892404828906207,0.2678892354712502
17.84340096818616,0.6054981370833848,0.25365488577051476
17.740950763196377,0.6053527027149602,0.2542819810808716
16.790074571396097,0.613949492477271,0.25326769991347436
16.505677862744278,0.5803721771131943,0.22812976801393345
17.690444555157544,0.5703835188219699,0.2495877473124583
16.213722078011806,0.5769988661269927,0.22353941217959766
15.717062376289288,0.5853506682896833,0.23195164454293185
