LE,gammaE,LElev,nugget
16.70402153341631,0.7030801655754993,1117.9590507555733,0.22951909423610253
14.103021446584611,0.7343963650953707,1262.8957869173883,0.22158374681702808
15.525359781457679,0.708096928408269,1287.509461715652,0.22015139925272745
15.072283547774294,0.7616529732510029,1144.8650637835829,0.2266041380932613
14.38903314601984,0.6331406625255842,1148.0108913844194,0.17067842465780453
13.467831558208182,0.7585059357678765,1056.723393817257,0.2095372898328946
13.315515665838245,0.749172258246777,1020.2640375125998,0.2097849760568806
14.04246019459747,0.7095871529557476,1077.4107883453091,0.18991030101095013
14.359245020383444,0.6930499927200917,1096.3729828122885,0.19107406942007632
15.283051060976167,0.7097770686418099,1186.9313866817222,0.21875761842825991
15.936324377978897,0.7175234262426465,1215.8808041889013,0.21319392192466663
14.590794538005115,0.7413059417594747,1122.7891136836013,0.20757344351826537
14.815860691885751,0.6654646137893904,1059.0294535314097,0.19418880147115583
15.154420884049445,0.6959580804308825,1002.7052811988723,0.1935175801307141
14.307863276003333,0.6978967139691955,954.5974686472016,0.1980037741675504
16.285107650760903,0.7454902195851101,1221.0799629365365,0.22693728546584843
16.288733140787144,0.7235881885501089,1195.2135988273067,0.2260339334892903
15.614076112331668,0.7586087810316248,1209.8235413401294,0.2364350197022837
14.958712214317528,0.7086370753426611,1132.128049285808,0.20262544543060482
14.524125271259102,0.7091752232651847,1164.3849687943011,0.20940355240897124
14.42292583892649,0.666363617082377,1178.5335949135806,0.18639657895412787
14.53915928030574,0.6668131962215404,1191.6717661896944,0.18258546420613242
15.450628899907041,0.6872993178867505,1273.2103877183815,0.2190344763443183
15.168709931849545,0.7504593451269713,1041.4333412457852,0.23092947447775583
15.47737103233405,0.7474100998185929,999.8880260408334,0.22458944183353666
15.033226071736873,0.6609348242442976,1357.1570709270627,0.2043341541635682
16.354658952715724,0.7926236378968933,1203.5147101070347,0.2605164562673603
13.83771884721856,0.7022418776871758,1076.496183178795,0.18805388513637555
16.829975716194223,0.7776674015946251,1256.3655589423588,0.24792798500354699
15.317909119097145,0.7459077140499858,1289.508580026598,0.24020303714540264
13.421146055296731,0.6409519698900167,969.6099163564511,0.14813619445035342
12.95430882931624,0.6489677172983154,1008.7546813935372,0.1700112254220724
14.157609313775275,0.6215466154294028,1038.109572960052,0.17378108105920415
13.28288430927154,0.6951778933369782,1045.391700108395,0.19388411365738914
13.662116306516069,0.6405632376040822,1047.99906213068,0.16896745147918224
17.080259791178765,0.8257681422334389,1181.9845497690098,0.2573929237537938
14.03723586907862,0.6830159846639576,1156.8382782003946,0.18092744106106345
14.056893266239525,0.681058352709915,1153.860697656483,0.18092725506627597
14.032254441675146,0.6826942449607847,1141.1547283185314,0.1826232465369058
14.618836837189873,0.6595385880177185,1199.5812856320103,0.19395208451107795
13.424722985140612,0.7753743859662265,1200.3140847696582,0.21508224143994095
17.429955668861513,0.6728441415331838,1107.0281413032062,0.21602740608805898
14.568422624857124,0.8041847541182956,1191.5257433732284,0.23454775276697498
16.431000341853885,0.7378109559082783,1182.3501697101974,0.23759583567783946
15.043147870265852,0.7863372112119627,1207.2075118919183,0.23726965635147415
16.185959407287175,0.7709224805599179,1235.5862427679526,0.24460318202489328
15.092436861916163,0.7698613796349592,1267.956651722585,0.23348351802778092
14.699576956253518,0.7651564475011655,1281.8743469945937,0.23538899049610826
17.444080495959536,0.7338329238470958,1342.9166569465817,0.23962423419193582
13.350628072571165,0.6972455046324071,1003.0062274380807,0.18535904246875182
13.269566038056968,0.6911281811893443,1060.8198297188433,0.1862136439014805
13.516737682246115,0.6589066954648316,1031.6737720591707,0.16885830652932432
